schema_version,rule_version,source_artifact,source_sha256,dependency_bundle_id,dependency_bundle_json,stage,pool,condition,validity_status,interpretation_allowed,task_id,base_task_id,dataset_group,n_observations,n_independent_workers,n_independence_not_evaluable,n_non_independent_confirmed,n_invalid_geometry,n_invalid_schema,n_unassigned_or_duplicate,geometry_valid_k,primary_active_time_k,explicit_issue_k,support_gap_candidate,evidence_complete_candidate,snapshot_id,routing_eligible
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,Calibration_core,7,0,7,0,0,0,0,0,0,0,True,False,d2ab8072e7afd4686226,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,465,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,Calibration_core,3,0,3,0,0,0,0,0,0,0,True,False,8d1bb0facf0115097b4c,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,Calibration_core,5,0,5,0,0,0,0,0,0,0,True,False,6a5d511e80bd4e963dea,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_anchor,manual,dry_run,false,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,Calibration_anchor,19,0,19,0,0,0,0,0,0,0,True,False,55d472aad402eb210d1e,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,Calibration_core,5,0,5,0,0,0,0,0,0,0,True,False,601480823ba40cedfea6,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,Calibration_core,6,0,6,0,0,0,1,0,0,0,True,False,cb669a3c1dedbe2b4228,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,Calibration_core,8,0,8,0,0,0,0,0,0,0,True,False,195cbc2c3741b7ab45c9,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_anchor,manual,dry_run,false,482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,Calibration_anchor,20,0,20,0,0,0,0,0,0,0,True,False,ef1e885652448c31fded,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,Calibration_core,10,0,10,0,0,0,1,0,0,0,True,False,48ac25c9f6014a01059a,false
paper_a_vfinal_sidecar_v1,sequential_routing_candidate_v1,analysis_results\c1_precloseout_rehearsal_20260724_9ae904848eb0\c1_quality_annotations.csv,7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7,fc411eb016bf1f562f3b1445fe9aaf0cfe7c17047c18c6064c2d7028912fa242,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_precloseout_rehearsal_20260724_9ae904848eb0\\c1_quality_annotations.csv"",""sha256"":""7cf8746643d227de8c2e6482d6161bf187d25eec6567c363d8f0fdd7bb0e9be7""}]",C1,Calibration_core,manual,dry_run,false,499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,Calibration_core,9,0,9,0,0,0,0,0,0,0,True,False,8cea4bcac2b81bd34cb9,false
