task_id,base_task_id,base_task_id_source,dataset_group,dataset_group_source,n_annotations,n_unique_annotators,n_duplicate_annotator_rows,n_difficulty_conflicted_annotators,n_model_issue_conflicted_annotators,difficulty_consensus,difficulty_consensus_confidence,model_issue_consensus,model_issue_consensus_confidence,consensus_method,consensus_version,artifact_role,routing_eligible,scene_profile_primary,secondary_difficulty_labels,secondary_model_issue_labels,consensus_notes,n_difficulty_nonempty,n_model_issue_nonempty,difficulty_defaulted,model_issue_defaulted,dataset_group_conflict,dataset_group_conflict_values,base_task_id_conflict,base_task_id_conflict_values,difficulty_vote_counts_json,model_issue_vote_counts_json
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,base_task_id,Calibration_anchor,dataset_group,19,19,0,0,0,occlusion,0.684211,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,reflection;low_texture,,,19,0,False,True,False,Calibration_anchor,False,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,"{""low_texture"": 2, ""occlusion"": 13, ""reflection"": 3, ""trivial"": 5}",{}
482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.75,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,reflection;low_texture;low_quality,,,20,0,False,True,False,Calibration_anchor,False,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,"{""low_quality"": 1, ""low_texture"": 7, ""occlusion"": 15, ""reflection"": 10, ""trivial"": 3}",{}
518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.75,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,low_texture;reflection;seam,,,20,0,False,True,False,Calibration_anchor,False,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,"{""low_texture"": 6, ""occlusion"": 15, ""reflection"": 4, ""seam"": 3, ""trivial"": 2}",{}
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,reflection,0.55,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,seam;occlusion,,,20,0,False,True,False,Calibration_anchor,False,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,"{""occlusion"": 4, ""reflection"": 11, ""seam"": 5, ""trivial"": 6}",{}
557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,base_task_id,Calibration_anchor,dataset_group,19,19,0,0,0,occlusion,0.894737,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,low_quality;reflection,,,19,0,False,True,False,Calibration_anchor,False,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,"{""low_quality"": 1, ""occlusion"": 17, ""reflection"": 1, ""trivial"": 2}",{}
558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.85,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,low_texture;reflection,,,20,0,False,True,False,Calibration_anchor,False,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,"{""low_texture"": 3, ""occlusion"": 17, ""reflection"": 1, ""trivial"": 3}",{}
561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.85,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,reflection;low_texture,,,20,0,False,True,False,Calibration_anchor,False,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,"{""low_texture"": 1, ""occlusion"": 17, ""reflection"": 3, ""trivial"": 3}",{}
563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.35,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,low_quality;low_texture;reflection,,,20,0,False,True,False,Calibration_anchor,False,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,"{""low_quality"": 1, ""low_texture"": 1, ""occlusion"": 7, ""reflection"": 1, ""trivial"": 13}",{}
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,base_task_id,Calibration_anchor,dataset_group,20,20,0,0,0,occlusion,0.85,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,reflection;seam;low_texture;low_quality,,,20,0,False,True,False,Calibration_anchor,False,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,"{""low_quality"": 1, ""low_texture"": 4, ""occlusion"": 17, ""reflection"": 6, ""seam"": 5}",{}
621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,base_task_id,Calibration_anchor,dataset_group,19,19,0,0,0,occlusion,0.894737,acceptable,0.0,majority_token_presence_demote_default_after_task_annotator_dedup,v2,legacy_descriptive_proxy,False,False,reflection;seam;low_quality,,,19,0,False,True,False,Calibration_anchor,False,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,"{""low_quality"": 1, ""occlusion"": 17, ""reflection"": 6, ""seam"": 2, ""trivial"": 1}",{}
