image_id,condition,n,scope_counts,scope_known,scope_categories_supported,scope_entropy_known,not_geometry_policy_truth
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,"{""normal"": 3}",3,1,-0,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,"{""normal"": 3}",3,1,-0,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,"{""normal"": 1}",1,0,-0,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,"{""normal"": 3, ""oos_geometry"": 1, ""oos_open_boundary"": 1}",5,1,1.37095059445,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,"{""normal"": 24}",24,1,-0,True
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,"{""oos_split_level"": 12, ""normal"": 11, ""oos_geometry"": 1}",24,2,1.20690842515,True
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,"{""oos_split_level"": 9, ""normal"": 13, ""oos_open_boundary"": 2}",24,3,1.30850244452,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,"{""normal"": 19, ""oos_insufficient"": 1, ""oos_geometry"": 2, ""oos_open_boundary"": 2}",24,3,1.05535321924,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,"{""oos_open_boundary"": 2, ""normal"": 2, ""oos_geometry"": 1}",5,2,1.52192809489,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,"{""normal"": 4, ""oos_open_boundary"": 1, ""oos_geometry"": 1}",6,1,1.25162916739,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,"{""normal"": 6}",6,1,-0,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,"{""normal"": 4}",4,1,-0,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,"{""normal"": 3, ""oos_insufficient"": 1, ""oos_open_boundary"": 1}",5,1,1.37095059445,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,"{""normal"": 3, ""oos_open_boundary"": 1}",4,1,0.811278124459,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,"{""normal"": 3, ""oos_split_level"": 2}",5,2,0.970950594455,True
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,"{""normal"": 5}",5,1,-0,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,"{""normal"": 4, ""oos_geometry"": 1}",5,1,0.721928094887,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,"{""normal"": 24}",24,1,-0,True
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,"{""normal"": 19, ""oos_split_level"": 1, ""oos_geometry"": 1, ""oos_open_boundary"": 3}",24,2,1.02389957332,True
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,"{""normal"": 3, ""oos_geometry"": 1}",4,1,0.811278124459,True
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,"{""normal"": 5}",5,1,-0,True
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,"{""normal"": 3, ""oos_open_boundary"": 1}",4,1,0.811278124459,True
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,24,"{""normal"": 19, ""oos_open_boundary"": 2, ""oos_geometry"": 2, ""oos_insufficient"": 1}",24,3,1.05535321924,True
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,24,"{""normal"": 19, ""oos_geometry"": 2, ""oos_open_boundary"": 3}",24,3,0.940566239988,True
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,6,"{""normal"": 4, ""oos_open_boundary"": 1, ""oos_geometry"": 1}",6,1,1.25162916739,True
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,4,"{""normal"": 4}",4,1,-0,True
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,24,"{""normal"": 17, ""oos_open_boundary"": 6, ""oos_geometry"": 1}",24,2,1.04343569632,True
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,6,"{""normal"": 5, ""oos_open_boundary"": 1}",6,1,0.650022421648,True
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,5,"{""normal"": 5}",5,1,-0,True
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,20,"{""normal"": 13, ""oos_open_boundary"": 2, ""oos_geometry"": 5}",20,3,1.23616025437,True
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,1,"{""normal"": 1}",1,0,-0,True
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,2,"{""normal"": 2}",2,1,-0,True
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,4,"{""normal"": 3, ""oos_open_boundary"": 1}",4,1,0.811278124459,True
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,1,"{""normal"": 1}",1,0,-0,True
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,2,"{""normal"": 2}",2,1,-0,True
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,20,"{""normal"": 20}",20,1,-0,True
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,2,"{""normal"": 2}",2,1,-0,True
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,1,"{""normal"": 1}",1,0,-0,True
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,3,"{""normal"": 3}",3,1,-0,True
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,5,"{""normal"": 2, ""oos_open_boundary"": 2, ""oos_geometry"": 1}",5,2,1.52192809489,True
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,4,"{""oos_open_boundary"": 3, ""oos_geometry"": 1}",4,1,0.811278124459,True
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,24,"{""oos_open_boundary"": 15, ""normal"": 6, ""oos_geometry"": 3}",24,3,1.2987949407,True
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,24,"{""oos_geometry"": 6, ""oos_open_boundary"": 10, ""oos_split_level"": 2, ""normal"": 4, ""oos_insufficient"": 2}",24,5,2.05458516934,True
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,24,"{""normal"": 19, ""oos_open_boundary"": 4, ""oos_insufficient"": 1}",24,2,0.888686552578,True
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,24,"{""normal"": 20, ""oos_open_boundary"": 3, ""oos_geometry"": 1}",24,2,0.785235442392,True
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,7,"{""normal"": 3, ""oos_open_boundary"": 2, ""oos_geometry"": 1, ""unknown"": 1}",6,2,1.45914791703,True
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,4,"{""normal"": 4}",4,1,-0,True
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,5,"{""normal"": 2, ""oos_insufficient"": 1, ""oos_geometry"": 1, ""oos_open_boundary"": 1}",5,1,1.92192809489,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,23,"{""normal"": 23}",23,1,-0,True
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos,24,"{""normal"": 5, ""oos_open_boundary"": 14, ""oos_insufficient"": 3, ""oos_geometry"": 2}",24,4,1.59881679716,True
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,2,"{""oos_open_boundary"": 1, ""normal"": 1}",2,0,1,True
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,2,"{""normal"": 2}",2,1,-0,True
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,7,"{""normal"": 6, ""oos_geometry"": 1}",7,1,0.591672778582,True
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,20,"{""normal"": 19, ""oos_geometry"": 1}",20,1,0.286396957116,True
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,5,"{""oos_open_boundary"": 1, ""normal"": 4}",5,1,0.721928094887,True
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,2,"{""normal"": 2}",2,1,-0,True
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,24,"{""normal"": 21, ""oos_open_boundary"": 1, ""oos_geometry"": 2}",24,2,0.658351422456,True
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,5,"{""normal"": 5}",5,1,-0,True
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,24,"{""normal"": 24}",24,1,-0,True
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,4,"{""normal"": 4}",4,1,-0,True
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,4,"{""normal"": 4}",4,1,-0,True
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,5,"{""normal"": 4, ""oos_open_boundary"": 1}",5,1,0.721928094887,True
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,5,"{""normal"": 5}",5,1,-0,True
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,5,"{""normal"": 5}",5,1,-0,True
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,24,"{""normal"": 24}",24,1,-0,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,24,"{""normal"": 13, ""oos_split_level"": 5, ""oos_insufficient"": 1, ""oos_geometry"": 2, ""oos_open_boundary"": 3}",24,4,1.8153689877,True
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,24,"{""normal"": 24}",24,1,-0,True
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,5,"{""normal"": 5}",5,1,-0,True
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,6,"{""normal"": 6}",6,1,-0,True
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos,24,"{""oos_open_boundary"": 13, ""normal"": 10, ""oos_geometry"": 1}",24,2,1.19642094719,True
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,6,"{""normal"": 6}",6,1,-0,True
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,24,"{""normal"": 24}",24,1,-0,True
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,6,"{""normal"": 5, ""oos_open_boundary"": 1}",6,1,0.650022421648,True
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,24,"{""normal"": 23, ""oos_open_boundary"": 1}",24,1,0.249882292833,True
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,24,"{""oos_open_boundary"": 1, ""normal"": 18, ""oos_split_level"": 4, ""oos_geometry"": 1}",24,2,1.12418541631,True
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,6,"{""normal"": 4, ""oos_split_level"": 1, ""oos_geometry"": 1}",6,1,1.25162916739,True
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,24,"{""normal"": 17, ""oos_split_level"": 2, ""oos_geometry"": 2, ""oos_open_boundary"": 3}",24,4,1.32488934225,True
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,24,"{""normal"": 24}",24,1,-0,True
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,24,"{""normal"": 20, ""oos_open_boundary"": 2, ""oos_geometry"": 2}",24,3,0.816689088315,True
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,4,"{""normal"": 3, ""oos_geometry"": 1}",4,1,0.811278124459,True
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,2,"{""normal"": 2}",2,1,-0,True
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,2,"{""oos_open_boundary"": 1, ""oos_geometry"": 1}",2,0,1,True
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,2,"{""normal"": 2}",2,1,-0,True
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,2,"{""oos_open_boundary"": 1, ""normal"": 1}",2,0,1,True
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,manual,1,"{""normal"": 1}",1,0,-0,True
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,2,"{""oos_open_boundary"": 2}",2,1,-0,True
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,3,"{""normal"": 2, ""oos_open_boundary"": 1}",3,1,0.918295834054,True
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,3,"{""normal"": 3}",3,1,-0,True
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,"{""normal"": 6}",6,1,-0,True
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,manual,1,"{""normal"": 1}",1,0,-0,True
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,manual,1,"{""normal"": 1}",1,0,-0,True
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,2,"{""oos_open_boundary"": 2}",2,1,-0,True
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,manual,1,"{""oos_insufficient"": 1}",1,0,-0,True
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,2,"{""normal"": 2}",2,1,-0,True
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,1,"{""normal"": 1}",1,0,-0,True
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,4,"{""oos_insufficient"": 1, ""normal"": 3}",4,1,0.811278124459,True
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,2,"{""oos_open_boundary"": 2}",2,1,-0,True
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,manual,1,"{""normal"": 1}",1,0,-0,True
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,4,"{""normal"": 4}",4,1,-0,True
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,4,"{""normal"": 4}",4,1,-0,True
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,manual,1,"{""oos_open_boundary"": 1}",1,0,-0,True
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,manual,1,"{""oos_open_boundary"": 1}",1,0,-0,True
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,3,"{""oos_split_level"": 1, ""normal"": 1, ""oos_open_boundary"": 1}",3,0,1.58496250072,True
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,6,"{""normal"": 6}",6,1,-0,True
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,manual,1,"{""normal"": 1}",1,0,-0,True
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,manual,2,"{""normal"": 2}",2,1,-0,True
