image_id,condition,target,donor,horizon_matched,reason
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,supported_multimodal,same_physical_room,False,no_eligible_historical_donor
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,supported_multimodal,same_physical_room,True,no_eligible_historical_donor
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,supported_multimodal,same_physical_room,False,no_eligible_historical_donor
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,supported_multimodal,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,late_novel_geometry_rate,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,late_novel_geometry_rate,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,half_TV,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,half_TV,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,half_future_uncovered,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,half_future_uncovered,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,supported_multimodal,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,supported_multimodal,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,late_novel_geometry_rate,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,late_novel_geometry_rate,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,half_TV,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,half_TV,same_physical_room,True,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,half_future_uncovered,same_physical_room,False,no_eligible_historical_donor
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,half_future_uncovered,same_physical_room,True,no_eligible_historical_donor
