building_id,population_role,images,annotations,bi_equal,human30,ai50
2t7WUuJeko7,historical_annotated,3,7,2,0,0
7y3sRwLe3Va,candidate_without_historical_annotation,11,0,1,3,2
7y3sRwLe3Va,historical_annotated,12,154,2,0,0
B6ByNegPMKs,candidate_without_historical_annotation,15,0,1,3,5
B6ByNegPMKs,historical_annotated,11,174,2,0,0
S9hNv5qa7GM,historical_annotated,10,56,3,0,0
UwV83HsGsw3,candidate_without_historical_annotation,8,0,0,3,5
UwV83HsGsw3,historical_annotated,11,188,0,0,0
VFuaQ6m2Qom,historical_annotated,5,36,1,0,0
VLzqgDo317F,historical_annotated,1,2,0,0,0
X7HyMhZNoso,candidate_without_historical_annotation,16,0,7,3,2
X7HyMhZNoso,historical_annotated,4,66,1,0,0
Z6MFQCViBuw,candidate_without_historical_annotation,3,0,1,1,2
Z6MFQCViBuw,historical_annotated,4,50,0,0,0
b8cTxDM8gDG,candidate_without_historical_annotation,11,0,2,2,2
b8cTxDM8gDG,historical_annotated,5,89,1,0,0
e9zR4mvMWw7,candidate_without_historical_annotation,19,0,5,2,2
e9zR4mvMWw7,historical_annotated,9,174,3,0,0
jh4fc5c5qoQ,historical_annotated,7,15,0,0,0
jtcxE69GiFV,historical_annotated,16,37,3,0,0
kEZ7cmS4wCh,candidate_without_historical_annotation,1,0,0,1,0
pRbA3pwrgk9,historical_annotated,11,48,2,0,0
pa4otMbVnkk,historical_annotated,11,22,5,0,0
q9vSo1VnCiC,candidate_without_historical_annotation,8,0,3,2,6
q9vSo1VnCiC,historical_annotated,16,221,4,0,0
rPc6DW4iMge,candidate_without_historical_annotation,5,0,1,1,4
rPc6DW4iMge,historical_annotated,10,192,1,0,0
rqfALeAoiTq,candidate_without_historical_annotation,1,0,1,1,0
uNb9QFRL6hY,candidate_without_historical_annotation,32,0,8,2,6
uNb9QFRL6hY,historical_annotated,28,426,7,0,0
wc2JMjhGNzB,candidate_without_historical_annotation,17,0,9,2,6
wc2JMjhGNzB,historical_annotated,15,258,7,0,0
x8F5xyUWy9e,candidate_without_historical_annotation,4,0,1,2,2
x8F5xyUWy9e,historical_annotated,4,41,0,0,0
yqstnuAEVhm,candidate_without_historical_annotation,15,0,3,2,6
yqstnuAEVhm,historical_annotated,15,228,3,0,0
zsNo4HB9uLZ,historical_annotated,6,17,0,0,0
