image_id,responses,distinct_initial_geometries,source_kinds
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,24,1,trap_synthetic_disjoint_source
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,4,1,missing_required_initialization
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,4,1,missing_required_initialization
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,24,1,trap_natural
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,4,1,missing_required_initialization
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,4,1,missing_required_initialization
B6ByNegPMKs_75327de9719945aa8b893a6404667884,24,1,trap_synthetic_disjoint_source
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,1,missing_required_initialization
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,4,1,missing_required_initialization
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,4,1,missing_required_initialization
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,24,1,control_natural
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,1,missing_required_initialization
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,4,1,missing_required_initialization
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,5,1,missing_required_initialization
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,24,1,trap_synthetic_disjoint_source
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,24,1,trap_natural
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,24,1,trap_synthetic_disjoint_source
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,24,1,control_natural
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,24,1,control_natural
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,24,1,trap_synthetic_disjoint_source
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,24,1,trap_natural
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,4,1,missing_required_initialization
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,4,1,missing_required_initialization
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,24,1,trap_synthetic_disjoint_source
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,5,1,missing_required_initialization
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,24,1,trap_natural
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,4,1,missing_required_initialization
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,1,missing_required_initialization
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,1,missing_required_initialization
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,1,missing_required_initialization
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,24,1,trap_natural
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,5,1,missing_required_initialization
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,4,1,missing_required_initialization
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,24,1,control_natural
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,24,1,control_natural
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,1,missing_required_initialization
wc2JMjhGNzB_77962388887942148ee65c2892600e02,24,1,control_natural
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,5,1,missing_required_initialization
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,1,missing_required_initialization
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,24,1,trap_natural
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,1,missing_required_initialization
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,5,1,missing_required_initialization
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,1,missing_required_initialization
