image_id,count_hohonet,count_yaw_range_hohonet,hohonet_fallback_phases,rotation_hohonet,count_bi_enclosed,count_yaw_range_bi_enclosed,count_bi_extended,count_yaw_range_bi_extended,bi_head_geometry_gap,bi_height_head_gap,rotation_bi_enclosed,rotation_bi_extended,rotation_ulayout,gap_hohonet_bi_enclosed,gap_hohonet_bi_extended,gap_hohonet_ulayout,gap_bi_enclosed_bi_extended,gap_bi_enclosed_ulayout,gap_bi_extended_ulayout
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,8,0,0,0.00207463813294,8,0,8,0,0.000969912858526,1.48818266392,0.00424033776267,0.00542651133145,0.000472579749522,0.230131069738,0.230295385878,0.0219863909905,0.000969912858526,0.223006498074,0.223205984511
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,8,0,0,0.00249029367479,8,0,8,0,4.56131775278e-05,1.47616279125,0.00596788484395,0.00596771515466,0.000584263660481,0.180654867637,0.180633245332,0.0132559685714,4.56131775278e-05,0.177541251931,0.177519534604
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,8,0,0,0.00218454108154,8,0,8,0,0.00147926378788,1.58466207981,0.0092111121786,0.00983349798748,0.000604383440682,0.224090447229,0.223369768046,0.0259566155984,0.00147926378788,0.215938941503,0.215244043532
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,8,0,0,0.00443750692001,8,0,8,0,0.00639179981446,0.852574288845,0.0121487487088,0.0093335667644,0.00255597895346,0.355676126232,0.35757516779,0.0465820865488,0.00639179981446,0.373921769493,0.375757079197
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,8,0,0,0.00233865913285,8,0,8,0,0.000328126775497,1.03874635696,0.00393643205994,0.00417721851123,0.000327653859149,0.142522260181,0.142402317224,0.0125752396343,0.000328126775497,0.137004977464,0.136885955043
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,12,0,0,0.00251231635384,8,0,8,0,0.00328737059407,1.08326053619,0.0197548523803,0.0194395359938,0.00102946831444,0.542926072459,0.544223199911,0.0143914619411,0.00328737059407,0.543475506119,0.544636986349
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,12,0,0,0.00394439329584,12,0,12,0,0.000780021452399,0.980837404728,0.0184469817235,0.0187385084189,0.000500222499811,0.395658034911,0.396120399219,0.0368571581127,0.000780021452399,0.377182924371,0.377651842559
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,20,0,0,0.00765691908321,15,12,,,,,0.233204724755,,0.00147256836984,0.317058600557,,0.0824255774579,,0.347150298059,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,12,4,0,0.00425773190708,18,0,18,2,0.00373893675602,0.992897212505,0.0130115878213,0.0163053042169,0.00066170029066,0.186829142046,0.184954032074,0.0177569918716,0.00373893675602,0.178681656954,0.176937375353
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,16,0,0,0.00356919192041,16,4,16,4,0.198282753663,1.03852367401,0.0222141756587,0.0343872436115,0.00113245401493,0.321925009474,0.26002206399,0.0165236849618,0.198282753663,0.327380035483,0.261507591193
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,16,0,0,0.00412865929498,20,0,20,0,0.00350507232472,0.967660069466,0.0171218870208,0.0177872438936,0.00081166035375,0.315403770972,0.31422267125,0.0443840305499,0.00350507232472,0.299371211162,0.298526982569
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,8,0,0,0.00253320978257,8,0,8,0,0.00158449883874,0.853733956814,0.00616790129827,0.00679266919003,0.000381628974453,0.290306953323,0.289429768745,0.0251379611867,0.00158449883874,0.305465587008,0.304546381176
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,12,0,0,0.00312604852038,12,0,12,0,0.00227988064066,0.497505575418,0.0158704991644,0.0188474365888,0.00050438342632,0.358921953064,0.359294344024,0.0174460109036,0.00227988064066,0.366371574444,0.36666470347
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,12,0,0,0.00564244863879,8,0,8,0,0.00849705862445,0.956164777279,0.0146441470715,0.00918491798921,0.00219360467367,0.195894899039,0.193863907568,0.07294785114,0.00849705862445,0.204387852466,0.201804376947
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,16,4,0,0.0058576724871,8,12,8,0,0.0729076230059,1.13495767117,0.111906078301,0.0234066245292,0.00222423734409,0.359930831655,0.392856021721,0.0607300128896,0.0729076230059,0.401359044786,0.433135569634
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,8,0,0,0.00614712733046,8,0,8,0,0.0792117878298,1.36501371861,0.0641539653319,0.0227126444267,0.00215676768181,0.682173229036,0.707021360323,0.0712537012416,0.0792117878298,0.69514614705,0.719418728184
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,12,0,0,0.00276041250855,8,0,8,0,0.00478710087005,0.735934853554,0.00711779374606,0.00595517907794,0.000907682305266,0.153748005988,0.157447580621,0.0169006397114,0.00478710087005,0.143060415378,0.146440534826
B6ByNegPMKs_75327de9719945aa8b893a6404667884,8,0,0,0.00294273722848,8,0,8,0,0.00244005103631,0.777412056923,0.020229098719,0.0189553296656,0.00305524245423,0.850866968462,0.850609267517,0.0490728060909,0.00244005103631,0.845412531178,0.845145674645
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,12,0,0,0.00323151362772,8,0,8,0,0.00275899548013,1.31348609924,0.0175219563219,0.017538522311,0.0015028441917,0.772028374437,0.772553548579,0.0133177588033,0.00275899548013,0.768509008253,0.769055784702
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,12,0,0,0.00353523757411,8,0,8,2,0.00660974999308,1.39397239685,0.0169107633958,0.0249567527025,0.00112564485656,0.664992146943,0.664342683012,0.0241652089317,0.00660974999308,0.663794143834,0.663193851911
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,8,0,0,0.00377263569262,9,2,9,8,0.274260516922,0.713688015938,0.120939518286,0.0398396173115,0.000996115056116,0.845478132603,0.888515037454,0.0681008199309,0.274260516922,0.838751149565,0.883661287858
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,20,0,0,0.00393086497744,16,4,16,0,0.0282761879386,1.3064738512,0.0544321877263,0.0208451062368,0.00105300807306,0.337197061759,0.335098162629,0.0297826454474,0.0282761879386,0.336493472239,0.33642636594
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,8,0,0,0.00322320190559,8,0,8,0,0.0146178472692,0.912042856216,0.0115210870218,0.0128044499621,0.00112169247838,0.85632483096,0.858424130154,0.032500984391,0.0146178472692,0.852650788005,0.85480375212
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,8,0,0,0.00481212083379,8,0,8,0,0.00145328008981,1.12868750095,0.00837192272711,0.00859643242673,0.00200385801882,0.193235775302,0.193637987352,0.0796852360587,0.00145328008981,0.216274151272,0.216545252908
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,8,0,0,0.00309142965697,8,0,8,0,0.000777124290782,0.515029549599,0.00435313563642,0.00425779279859,0.000873213180805,0.227396784154,0.227359520043,0.0273825121796,0.000777124290782,0.221138605309,0.22107810915
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,8,0,0,0.00196456168357,8,0,8,0,0.000672030745696,0.685683786869,0.00607300018835,0.00578024138372,0.000568973682881,0.195337214384,0.19525670393,0.019388450207,0.000672030745696,0.187431728926,0.18735195256
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,12,0,0,0.00279038635545,12,0,12,0,0.00174260107166,0.619760513306,0.0156850476782,0.0156369653312,0.000657450711276,0.215440714254,0.215953142596,0.0423569769597,0.00174260107166,0.184859520771,0.185327711596
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,8,0,0,0.00952026420403,8,0,8,0,0.0214362881777,0.285382807255,0.00844720804547,0.0112736438297,0.00494177752975,0.247584032901,0.256665650181,0.181084520307,0.0214362881777,0.172887119431,0.188850779288
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,8,0,0,0.00260451727334,8,0,8,0,0.0080105629805,0.451453745365,0.00656010027919,0.00914505758362,0.00061653723982,0.315246206691,0.319195717799,0.0303004854988,0.0080105629805,0.313524661109,0.318228791332
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,12,0,0,0.00305122206236,12,4,12,0,0.0117441675416,0.675568580627,0.0289895517359,0.00894930773971,0.000539109737449,0.218876317101,0.210808335516,0.0215260317845,0.0117441675416,0.204319175206,0.196188887295
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,8,0,0,0.00456963253314,8,0,8,0,0.000544793406718,0.506128847599,0.00880319753613,0.00870256341263,0.000889538037783,0.253321020363,0.253710996372,0.0395985343376,0.000544793406718,0.279904928225,0.280296924969
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,8,0,0,0.00266141398551,8,0,8,0,0.00145032248922,0.538400173187,0.00423295387539,0.00422022891886,0.000669457665743,0.178125239654,0.177946310282,0.0199600455088,0.00145032248922,0.175345126508,0.175500802738
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,8,0,0,0.00343526357544,8,0,8,0,0.00340894107886,0.51005423069,0.0102811236367,0.0102429533383,0.00149864587149,0.313045948931,0.315278313948,0.0843010379986,0.00340894107886,0.344874762633,0.346020911887
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,12,0,0,0.00294591244329,16,0,15,2,0.00432366116823,0.705187320709,0.00944020249387,0.00799206781575,0.000915312400232,0.37092668269,0.373404163809,0.0305331920654,0.00432366116823,0.361682554242,0.364237775239
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,20,0,0,0.00545744397236,20,0,20,0,0.0124410570245,1.15293288231,0.0296634397056,0.0284675236823,0.00228977914451,0.408340839708,0.410134249715,0.0660824268751,0.0124410570245,0.399754852758,0.40161836487
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,24,0,0,0.00671850697218,12,8,16,8,0.135827553683,1.1562268734,0.0736773687575,0.080872738233,0.00219039930308,0.391837893028,0.434189782388,0.0865201677746,0.135827553683,0.362500157295,0.407489860366
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,20,0,0,0.00542056210865,20,0,32,4,0.0131901244116,0.775359511375,0.018629533015,0.0169019136041,0.00127540463845,0.253458339898,0.249418117198,0.0397264622884,0.0131901244116,0.243629328012,0.240145731508
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,12,0,0,0.00274450083944,8,0,8,0,0.00487166391196,0.570779561996,0.00920074324722,0.00576758985248,0.000705196059319,0.17764381628,0.179741416538,0.0307322934468,0.00487166391196,0.193266414788,0.195524524852
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,12,0,0,0.00341871643222,8,0,12,0,0.166992169846,0.868325054646,0.00964217673994,0.0140524398535,0.000550531407043,0.345437539073,0.273285253467,0.013757837232,0.166992169846,0.348315631038,0.273382673325
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,12,0,0,0.0035097480532,12,4,12,0,0.0184891197107,1.16538393497,0.0384030094223,0.0256487428183,0.000640133234399,0.296090531049,0.302217645918,0.0352883055034,0.0184891197107,0.295465471786,0.301885838166
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,8,0,0,0.00221598282341,8,0,8,0,0.00336495158516,0.845731735229,0.00536336535392,0.00560069357907,0.000380313038032,0.197623415233,0.195158681468,0.0170383223259,0.00336495158516,0.209820341761,0.207367100592
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,12,0,0,0.00309799530695,12,0,12,0,0.00038063826472,0.949493348598,0.0222190526739,0.0222164434177,0.000447152654742,0.248652085255,0.248877360694,0.0207107136991,0.00038063826472,0.259102988715,0.259334180476
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,20,0,0,0.00348069601794,16,0,16,0,0.00398947865729,0.986212611198,0.0104238724301,0.0106530319971,0.000882106603063,0.316934042736,0.318351212932,0.0280820377874,0.00398947865729,0.326518981923,0.327890537143
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,12,0,0,0.0028500269924,12,0,12,0,0.00154904499643,1.50908517838,0.00940711004706,0.0101704308414,0.000438005302928,0.107037064111,0.107391706184,0.0222280028715,0.00154904499643,0.12399394535,0.12435111822
