room_id,image_a,image_b,building,condition,n_common,workers,same_main_function,full_grade_a,full_grade_b,n_modes_a,n_supported_modes_a,singleton_mass_a,within_mode_max_a,within_mode_median_a,point_count_disagreement_a,mode_entropy_a,n_observed_a,n_valid_a,n_invalid_a,grade_a,status_a,p_early7_a,p_by19_a,p_tail_a,late_new_a,n_modes_b,n_supported_modes_b,singleton_mass_b,within_mode_max_b,within_mode_median_b,point_count_disagreement_b,mode_entropy_b,n_observed_b,n_valid_b,n_invalid_b,grade_b,status_b,p_early7_b,p_by19_b,p_tail_b,late_new_b,onset_median_a,observed_after7_a,replay_orders_a,onset_median_b,observed_after7_b,replay_orders_b
supported_component:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,manual,2,W002;W036,True,,,1,1,0,0.0637867206435,0.0637867206435,0,-0,2,2,0,,insufficient_people,,,,,1,1,0,0.0362415159279,0.0362415159279,0,-0,2,2,0,,insufficient_people,,,,,,,,,,
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,manual,5,W002;W008;W017;W030;W034,True,,difficult_candidate,3,2,0.2,0.069048027704,0.0689065641553,0.8,1.52192809489,5,5,0,,limited_horizon_or_order_sensitive,0,0,0,0.433333333333,4,1,0.6,0.0553756988093,0.0553756988093,0.9,1.92192809489,5,5,0,,limited_horizon_or_order_sensitive,0,0,0,0.7,,0,30,,0,30
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,5,W002;W008;W017;W030;W034,True,,,3,2,0.2,0.069048027704,0.0689065641553,0.8,1.52192809489,5,5,0,,limited_horizon_or_order_sensitive,0,0,0,0.433333333333,4,0,1,,,1,2,5,4,1,,invalid_response_evidence,,,,,,0,30,,,
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,True,difficult_candidate,,11,3,0.333333333333,0.0717836868317,0.049070778639,0.760869565217,2.71793602959,24,24,0,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,0,0.327777777778,17,1,0.727272727273,0.0561143833346,0.0561143833346,0.822510822511,3.75444184571,24,22,2,,invalid_response_evidence,,,,,,17,30,,,
supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,manual,5,W002;W015;W032;W034;W037,True,simple,,1,1,0,0.0258667891908,0.0258667891908,0,-0,5,5,0,simple,assigned_observed_early,1,1,0.433333333333,0,2,2,0,0.0591996017842,0.0539869115898,0.6,0.970950594455,5,5,0,,limited_horizon_or_order_sensitive,0.666666666667,0.666666666667,0,0.133333333333,4,0,30,4,0,30
supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual,5,W006;W008;W017;W031;W032,True,,,2,1,0.2,0.0312724166825,0.0312724166825,0.4,0.721928094887,5,5,0,,limited_horizon_or_order_sensitive,0,0,0,0.2,3,2,0.2,0.0182594749436,0.0091297374718,0.8,1.52192809489,5,5,0,,limited_horizon_or_order_sensitive,0,0,0,0.411111111111,,0,30,,0,30
supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,manual,6,W010;W013;W014;W018;W034;W035,True,simple,,2,2,0,0.0395532464483,0.0302654480309,0,1,6,6,0,simple,assigned_observed_early,1,1,0,0.0111111111111,3,1,0.333333333333,0.0588120663991,0.0588120663991,0.333333333333,1.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.333333333333,4,0,30,,0,30
supported_component:wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,manual,6,W013;W014;W028;W029;W034;W035,True,,,5,1,0.666666666667,0,0,0.866666666667,2.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.733333333333,6,0,1,,,0.866666666667,2.58496250072,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,1,,0,30,,0,30
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,6,W011;W013;W014;W018;W034;W035,True,,,5,1,0.666666666667,0,0,0.933333333333,2.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.744444444444,5,1,0.666666666667,0,0,0.933333333333,2.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.777777777778,,0,30,,0,30
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,manual,6,W011;W013;W014;W018;W034;W035,False,,difficult_candidate,5,1,0.666666666667,0,0,0.933333333333,2.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.744444444444,5,1,0.666666666667,0,0,0.866666666667,2.25162916739,6,6,0,,limited_horizon_or_order_sensitive,0,0,0,0.722222222222,,0,30,,0,30
