image_id,condition,axis,observed_people,qualified_target_people,unknown_or_unqualified_people
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,Q,3,3,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,T,3,3,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,Q,3,3,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,T,3,3,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,Q,1,1,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,T,1,1,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,Q,5,5,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,T,5,5,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,Q,24,24,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,T,24,23,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,Q,24,24,0
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,T,24,23,1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,Q,5,5,0
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,T,5,5,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,Q,6,6,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,T,6,6,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,Q,6,6,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,T,6,5,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,Q,4,4,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,T,4,4,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,Q,5,5,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,T,5,5,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,Q,4,4,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,T,4,4,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,Q,5,5,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,T,5,5,0
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,Q,5,5,0
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,T,5,5,0
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,Q,5,5,0
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,T,5,5,0
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,Q,24,24,0
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,T,24,23,1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,Q,24,24,0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,T,24,23,1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,Q,5,5,0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,T,5,5,0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,Q,4,4,0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,T,4,4,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,Q,5,5,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,T,5,5,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,Q,4,4,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,T,4,4,0
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,Q,24,24,0
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,T,24,23,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,Q,24,24,0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,T,24,23,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,Q,6,6,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,T,6,5,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,Q,4,4,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,T,4,4,0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,Q,24,24,0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,T,24,23,1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,Q,5,5,0
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,T,5,5,0
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,Q,6,6,0
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,T,6,5,1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,Q,5,5,0
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,T,5,5,0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,Q,20,20,0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,T,20,20,0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,Q,1,1,0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,T,1,1,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,Q,2,2,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,T,2,2,0
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,Q,4,4,0
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,T,4,4,0
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,Q,1,1,0
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,T,1,1,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,Q,2,2,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,T,2,2,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,Q,20,20,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,T,20,20,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,Q,2,2,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,T,2,2,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,Q,1,1,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,T,1,1,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,Q,3,3,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,T,3,3,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,Q,5,5,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,T,5,5,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,Q,4,4,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,T,4,4,0
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,Q,5,5,0
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,T,5,5,0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,Q,24,24,0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,T,24,23,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,Q,24,24,0
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,T,24,23,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,Q,7,7,0
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,T,7,6,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,Q,4,4,0
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,T,4,4,0
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,Q,5,5,0
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,T,5,5,0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,Q,23,23,0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,T,23,22,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,Q,5,5,0
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,T,5,5,0
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,Q,2,2,0
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,T,2,2,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,Q,2,2,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,T,2,2,0
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,Q,7,7,0
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,T,7,7,0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,Q,20,20,0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,T,20,20,0
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,Q,5,5,0
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,T,5,5,0
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,Q,2,2,0
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,T,2,2,0
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,Q,24,24,0
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,T,24,23,1
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,Q,5,5,0
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,T,5,5,0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,Q,24,24,0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,T,24,23,1
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,Q,5,5,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,T,5,5,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,Q,4,4,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,T,4,4,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,Q,5,5,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,T,5,5,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,Q,4,4,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,T,4,4,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,Q,5,5,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,T,5,5,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,Q,5,5,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,T,5,5,0
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,Q,5,5,0
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,T,5,5,0
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,Q,24,24,0
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,T,24,23,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,Q,24,24,0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,T,24,23,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,Q,24,24,0
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,T,24,23,1
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,Q,5,5,0
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,T,5,5,0
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,Q,6,6,0
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,T,6,5,1
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,Q,6,6,0
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,T,6,6,0
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,Q,24,24,0
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,T,24,23,1
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,Q,6,6,0
