image_id,condition,worker_id,canonical_annotation_id,point_count,cluster,cluster_people
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W001,1870bb9b73b8e731,8,3,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W002,dc2410f47b0ae7f6,8,1,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W006,62350f1ba1f6f629,20,12,5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W008,ced04aaa4e1efa7e,20,12,5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W010,95c53ad8a5a96289,12,5,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W011,255bcfbc04e42564,20,13,3
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W012,9e238cb62af7d82e,20,13,3
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W013,dcf84084e2f4a4bf,8,2,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W014,85ae90c2f81b66df,20,13,3
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W015,c345eac5108fcf77,20,12,5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W017,db928628d69b3f0a,8,4,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W018,4785d000f2625c42,20,12,5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W021,e5a17929a8d3ddab,20,12,5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W027,03e01729807e10b2,20,14,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W028,8cd45265d79ac735,20,11,4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W029,f7889df0393772a8,16,8,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W030,42cd5a13d2ad90e1,18,10,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W031,8044ecb0849dfec0,20,11,4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W032,31ba2b8e12c0dae4,22,15,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W033,8ada6a2e55916c35,16,9,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W034,5dec5e1874a7a054,20,11,4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W035,b66bb9496c68e5be,20,11,4
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W036,9f069c3bb68abdf2,12,6,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,W037,60bba1fdafe4c9bd,14,7,1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,W001,a800c13498de5044,8,2,6
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,W002,2cb026abc8f06cca,8,1,6
