base_task_id,building_id,cluster_count,cluster_worker_memberships_json,condition,cutoff,fixed_support_annotation_ids_json,partition_status,pointwise_correspondence_required,second_cluster_support,stage,strict_support,structure_status
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""6"", ""8""], [""37""]]",manual,0.93,"[""0545d5cfd8fca3b793bc"", ""0f006ad814591f20f1d7"", ""1623fbedf957f0be9421"", ""1aa87c4e8b0db18c1ccd"", ""3e053dc275632e30f220"", ""432d23215497f235714b"", ""5370cc8259dd087bb93c"", ""58fcb37f432cd01e22a1"", ""6037abe04bcfa1d308ed"", ""762aad63d41c0473582f"", ""779f777343654b55ad95"", ""944fc693a5243b08b5ee"", ""9e082eaf47377454a352"", ""a5582527e1e55759fca4"", ""a899e204555a9b64f4b5"", ""b26eb0a9d329d8a255fd"", ""b52612c32e32fb20b8c2"", ""bbe40bd3ad25e4383c92"", ""beebb1979f052693f701"", ""c71f04cf03f04f83010c"", ""d37f314fba3b67c55956"", ""ddc38d03eaf0ed686dbe"", ""efdd3af8bbe9661a922f""]",unique,True,1,C1,23,dominant_with_dissent
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,3,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""6"", ""8""], [""37""], [""36""]]",manual,0.95,"[""0545d5cfd8fca3b793bc"", ""0f006ad814591f20f1d7"", ""1623fbedf957f0be9421"", ""1aa87c4e8b0db18c1ccd"", ""3e053dc275632e30f220"", ""432d23215497f235714b"", ""5370cc8259dd087bb93c"", ""58fcb37f432cd01e22a1"", ""6037abe04bcfa1d308ed"", ""762aad63d41c0473582f"", ""779f777343654b55ad95"", ""944fc693a5243b08b5ee"", ""9e082eaf47377454a352"", ""a5582527e1e55759fca4"", ""a899e204555a9b64f4b5"", ""b26eb0a9d329d8a255fd"", ""b52612c32e32fb20b8c2"", ""bbe40bd3ad25e4383c92"", ""beebb1979f052693f701"", ""c71f04cf03f04f83010c"", ""d37f314fba3b67c55956"", ""ddc38d03eaf0ed686dbe"", ""efdd3af8bbe9661a922f""]",unique,True,1,C1,23,dominant_with_dissent
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,3,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""6"", ""8""], [""37""], [""36""]]",manual,0.97,"[""0545d5cfd8fca3b793bc"", ""0f006ad814591f20f1d7"", ""1623fbedf957f0be9421"", ""1aa87c4e8b0db18c1ccd"", ""3e053dc275632e30f220"", ""432d23215497f235714b"", ""5370cc8259dd087bb93c"", ""58fcb37f432cd01e22a1"", ""6037abe04bcfa1d308ed"", ""762aad63d41c0473582f"", ""779f777343654b55ad95"", ""944fc693a5243b08b5ee"", ""9e082eaf47377454a352"", ""a5582527e1e55759fca4"", ""a899e204555a9b64f4b5"", ""b26eb0a9d329d8a255fd"", ""b52612c32e32fb20b8c2"", ""bbe40bd3ad25e4383c92"", ""beebb1979f052693f701"", ""c71f04cf03f04f83010c"", ""d37f314fba3b67c55956"", ""ddc38d03eaf0ed686dbe"", ""efdd3af8bbe9661a922f""]",unique,True,1,C1,23,dominant_with_dissent
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,2,"[[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""], [""1"", ""32""]]",manual,0.93,"[""0309b9293bdaeefba16c"", ""13de41d9ab1a6f93dc75"", ""1b0b4076d43ab5586a3f"", ""225002de699658941ca0"", ""2425c99671ebf414b359"", ""2669e20e43502bcf1419"", ""40b1ddacfbaf05a362ac"", ""68b9de98f158c481d82a"", ""6f501a02450b80edfacb"", ""7392408a228d29c44684"", ""73e2d1fca7e2ec1b2b59"", ""75727d4b2511f36fa2ce"", ""775744097a41d254df7f"", ""8775b9adcf68f1324409"", ""8cc976464d74ba775b9e"", ""9a0a83ba9247dbf61861"", ""a9bf98b8cc8fbfa40f5c"", ""bce7044b348685668b71"", ""bdf544ff5d0a4bfacc09"", ""c214f6ddad6c484d9ead"", ""d4f265a1a24e286d2575"", ""fcdfb6cd62ff1d9b2b4a"", ""fedad1bada042d84e572""]",unique,True,2,C1,23,supported_multimodal
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,2,"[[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""], [""1"", ""32""]]",manual,0.95,"[""0309b9293bdaeefba16c"", ""13de41d9ab1a6f93dc75"", ""1b0b4076d43ab5586a3f"", ""225002de699658941ca0"", ""2425c99671ebf414b359"", ""2669e20e43502bcf1419"", ""40b1ddacfbaf05a362ac"", ""68b9de98f158c481d82a"", ""6f501a02450b80edfacb"", ""7392408a228d29c44684"", ""73e2d1fca7e2ec1b2b59"", ""75727d4b2511f36fa2ce"", ""775744097a41d254df7f"", ""8775b9adcf68f1324409"", ""8cc976464d74ba775b9e"", ""9a0a83ba9247dbf61861"", ""a9bf98b8cc8fbfa40f5c"", ""bce7044b348685668b71"", ""bdf544ff5d0a4bfacc09"", ""c214f6ddad6c484d9ead"", ""d4f265a1a24e286d2575"", ""fcdfb6cd62ff1d9b2b4a"", ""fedad1bada042d84e572""]",unique,True,2,C1,23,supported_multimodal
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,2,"[[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""], [""1"", ""32""]]",manual,0.97,"[""0309b9293bdaeefba16c"", ""13de41d9ab1a6f93dc75"", ""1b0b4076d43ab5586a3f"", ""225002de699658941ca0"", ""2425c99671ebf414b359"", ""2669e20e43502bcf1419"", ""40b1ddacfbaf05a362ac"", ""68b9de98f158c481d82a"", ""6f501a02450b80edfacb"", ""7392408a228d29c44684"", ""73e2d1fca7e2ec1b2b59"", ""75727d4b2511f36fa2ce"", ""775744097a41d254df7f"", ""8775b9adcf68f1324409"", ""8cc976464d74ba775b9e"", ""9a0a83ba9247dbf61861"", ""a9bf98b8cc8fbfa40f5c"", ""bce7044b348685668b71"", ""bdf544ff5d0a4bfacc09"", ""c214f6ddad6c484d9ead"", ""d4f265a1a24e286d2575"", ""fcdfb6cd62ff1d9b2b4a"", ""fedad1bada042d84e572""]",unique,True,2,C1,23,supported_multimodal
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""6"", ""8""], [""37""]]",manual,0.93,"[""1318278d00548b081ebc"", ""14346fa7f625df2e92da"", ""20f0af1735ba9f7c5a2e"", ""2d83aaed5161b7904cdd"", ""334dd20fa6fb3ffa9d5d"", ""3e5c4fe6cfe523059d12"", ""43266379df129a98dcd9"", ""454169e6fe8a9b1ba08c"", ""65cf5a2a652ba9b3ca95"", ""6c5161e9261e0ba5f8b1"", ""6d2129c626d211543587"", ""73a83925776f8e35ed8a"", ""82255f7bb022fd1cd129"", ""86e6614af35eccb013ac"", ""a02304edf778c294c6fb"", ""a4b73bebf231dbe2321a"", ""b5a85ea72aadddb2f09b"", ""bfe1e6f3cb0a3353c928"", ""caba50e4a43aa76cac46"", ""d0fc4545c974fc42b662"", ""d984d534dcc7fe11d643"", ""efee8b0961b89129a457"", ""fc6a213e57b750465697""]",unique,True,1,C1,23,dominant_with_dissent
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""6"", ""8""], [""37""]]",manual,0.95,"[""1318278d00548b081ebc"", ""14346fa7f625df2e92da"", ""20f0af1735ba9f7c5a2e"", ""2d83aaed5161b7904cdd"", ""334dd20fa6fb3ffa9d5d"", ""3e5c4fe6cfe523059d12"", ""43266379df129a98dcd9"", ""454169e6fe8a9b1ba08c"", ""65cf5a2a652ba9b3ca95"", ""6c5161e9261e0ba5f8b1"", ""6d2129c626d211543587"", ""73a83925776f8e35ed8a"", ""82255f7bb022fd1cd129"", ""86e6614af35eccb013ac"", ""a02304edf778c294c6fb"", ""a4b73bebf231dbe2321a"", ""b5a85ea72aadddb2f09b"", ""bfe1e6f3cb0a3353c928"", ""caba50e4a43aa76cac46"", ""d0fc4545c974fc42b662"", ""d984d534dcc7fe11d643"", ""efee8b0961b89129a457"", ""fc6a213e57b750465697""]",unique,True,1,C1,23,dominant_with_dissent
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""6"", ""8""], [""37""]]",manual,0.97,"[""1318278d00548b081ebc"", ""14346fa7f625df2e92da"", ""20f0af1735ba9f7c5a2e"", ""2d83aaed5161b7904cdd"", ""334dd20fa6fb3ffa9d5d"", ""3e5c4fe6cfe523059d12"", ""43266379df129a98dcd9"", ""454169e6fe8a9b1ba08c"", ""65cf5a2a652ba9b3ca95"", ""6c5161e9261e0ba5f8b1"", ""6d2129c626d211543587"", ""73a83925776f8e35ed8a"", ""82255f7bb022fd1cd129"", ""86e6614af35eccb013ac"", ""a02304edf778c294c6fb"", ""a4b73bebf231dbe2321a"", ""b5a85ea72aadddb2f09b"", ""bfe1e6f3cb0a3353c928"", ""caba50e4a43aa76cac46"", ""d0fc4545c974fc42b662"", ""d984d534dcc7fe11d643"", ""efee8b0961b89129a457"", ""fc6a213e57b750465697""]",unique,True,1,C1,23,dominant_with_dissent
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,1,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""]]",manual,0.93,"[""0359bc11d268822d94fd"", ""0a6c2ab575a7b36f82bd"", ""0ab97a7e7082f598e237"", ""200f0c572426f1ad5f6c"", ""35a9f318fa8bb9909db0"", ""423d83b62a6b1fee7af4"", ""46a22bc8081a9f80e282"", ""6b145ff560adec834931"", ""7d1b82da44ed8dd8ef72"", ""a4015419d4289160ce21"", ""a8282b826c2b83f1c177"", ""b7e7d86f528066fab226"", ""bed357bd88baf4c32786"", ""cb5e672973105a2a1c43"", ""cc9c520b1f8781f19e31"", ""d14d3e95941e544b31c6"", ""d82cf0aab412ea6e207e"", ""e141cec3bd166425f47c"", ""e4ccffc7a8756b7b0be4"", ""e53257d9b7428d4da0f5"", ""e714d76c74a373febbee"", ""e7b36064adef9c88eb38"", ""f579b073015ccb5f87b1""]",unique,True,0,C1,23,unimodal
