stage,project_id,runtime_task_id,worker_id,image_title,base_task_id,excluded_annotation_id,selected_annotation_id,selected_canonical_annotation_id,same_result_json_as_selected,relation_to_selected,canonical_join_status,canonical_join_key_rule,excluded_created_at,excluded_updated_at,source_path,source_sha256
C1,71,3332,1,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd.jpg,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,6314,6331,f0b7c25018d49988f041,false,superseded_nonidentical_version,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-16T05:01:53.238084Z,2026-07-16T05:01:53.238099Z,export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,9caa6d1ffad1f6496e45883708437e4e230c87ed6d1a594716beedfcbdd57ece
C1,71,3370,11,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b.jpg,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,6413,6415,c56be6e4f5a0291cbfe7,false,superseded_nonidentical_version,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-19T02:18:28.732087Z,2026-07-19T02:18:28.732103Z,export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,9caa6d1ffad1f6496e45883708437e4e230c87ed6d1a594716beedfcbdd57ece
C1,71,3370,11,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b.jpg,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,6414,6415,c56be6e4f5a0291cbfe7,false,superseded_nonidentical_version,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-19T02:23:45.887897Z,2026-07-19T02:23:45.887911Z,export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,9caa6d1ffad1f6496e45883708437e4e230c87ed6d1a594716beedfcbdd57ece
C1,66,3185,34,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.jpg,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,6043,6044,c53730832245059ca129,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-08T05:22:05.019367Z,2026-07-08T06:43:32.946414Z,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,04b95b86ef77099f47ebe4189abf233b0399b5dc57d77bf740e6dec265967557
C1,66,3192,34,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.jpg,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,6051,6052,82255f7bb022fd1cd129,false,superseded_nonidentical_version,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-08T08:25:14.434284Z,2026-07-08T08:25:14.434301Z,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,04b95b86ef77099f47ebe4189abf233b0399b5dc57d77bf740e6dec265967557
C1,66,3192,34,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.jpg,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,6053,6052,82255f7bb022fd1cd129,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-08T08:32:57.103720Z,2026-07-08T08:32:57.103733Z,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,04b95b86ef77099f47ebe4189abf233b0399b5dc57d77bf740e6dec265967557
C1,68,3284,34,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,6077,6079,2ec85790145647163c24,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-08T11:33:58.106011Z,2026-07-08T11:33:58.106029Z,export_label/stage2_English/project-68-at-2026-07-30-13-02-cf7d8306.json,455a0f2e543d9534f2e7d46c4572776fa334e455d8f60f9b1f0283d7224e9280
C1,68,3284,34,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,6078,6079,2ec85790145647163c24,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+ls_runtime_task_id+worker_id+annotation_id,2026-07-08T11:33:58.376041Z,2026-07-08T11:33:58.376057Z,export_label/stage2_English/project-68-at-2026-07-30-13-02-cf7d8306.json,455a0f2e543d9534f2e7d46c4572776fa334e455d8f60f9b1f0283d7224e9280
P1,29,3095,8,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,3495,3496,8a6c9350ded9f505,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+runtime_task_id+worker_id+annotation_id,2026-05-29T03:16:31.821517Z,2026-05-29T03:16:31.821531Z,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-29-at-2026-06-30-09-00-e7ea6931.json,63b34e8adce3790c76f41f1e77302ea926dfdcbb0bc2950f6258a8d90d8ccdd1
P1,39,3129,36,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,4533,4595,d97a4c0b5bbe5fb7,false,superseded_nonidentical_version,raw_version_not_in_canonical_spine,project+runtime_task_id+worker_id+annotation_id,2026-06-23T20:56:08.678979Z,2026-06-23T20:56:08.678997Z,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,f79fb49ae72195c4fbea4934f17ac6235d75da513fa8fbfc11c993ad726a84ae
P1,39,3137,34,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283.jpg,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,4433,4434,42efcf39926698bd,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+runtime_task_id+worker_id+annotation_id,2026-06-22T01:55:54.571089Z,2026-06-22T01:55:54.571107Z,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,f79fb49ae72195c4fbea4934f17ac6235d75da513fa8fbfc11c993ad726a84ae
P1,39,3148,34,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.jpg,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,4444,4483,d709cefe9dcba87b,true,exact_result_duplicate,raw_version_not_in_canonical_spine,project+runtime_task_id+worker_id+annotation_id,2026-06-22T02:33:51.141634Z,2026-06-22T02:33:51.141652Z,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,f79fb49ae72195c4fbea4934f17ac6235d75da513fa8fbfc11c993ad726a84ae
