dataset_group,base_task_id,building_id,project_id,runtime_task_id,worker_id,annotation_id,strict_valid_support,task_mask_dispersion,leave_one_worker_out_mask_dispersion,active_time_seconds,log1p_active_time,active_time_status,formal_assignment_eligible,task_worker_time_analysis_eligible,difficulty_tags_json,difficulty_raw_values_json,difficulty_trivial,difficulty_nontrivial,difficulty_nontrivial_tag_count,difficulty_occlusion,difficulty_seam
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,27,5817,23,0.0441875928212912,0.045605290211633245,284.0,5.652489180268651,eligible,True,True,"[""occlusion"", ""reflection""]","[""occlusion"", ""reflection""]",0,1,2,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,28,5763,23,0.0441875928212912,0.04547153502475726,181.0,5.204006687076795,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,29,6359,23,0.0441875928212912,0.044376336330430845,23.0,3.1780538303479458,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,30,5998,23,0.0441875928212912,0.045380345830901024,116.0,4.762173934797756,eligible,True,True,"[""occlusion"", ""reflection""]","[""occlusion"", ""low_texture"", ""reflection""]",0,1,2,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,31,5934,23,0.0441875928212912,0.044800667147122976,170.0,5.14166355650266,eligible_partial_session_coverage,True,True,"[""trivial""]","[""trivial""]",1,0,0,0,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,32,6347,23,0.0441875928212912,0.044847793423972084,222.0,5.407171771460119,eligible_partial_session_coverage,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,33,5762,23,0.0441875928212912,0.04543367842265921,172.0,5.153291594497779,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,34,5875,23,0.0441875928212912,0.04430716232322066,,,not_evaluable,True,False,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,35,5921,23,0.0441875928212912,0.045265184650051825,144.0,4.976733742420574,eligible,True,True,"[""trivial""]","[""trivial""]",1,0,0,0,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,36,5861,23,0.0441875928212912,0.03399194225145403,1821.0,7.507690077819904,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,37,5862,23,0.0441875928212912,0.03887654132303913,555.0,6.320768294250582,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,1,6281,23,0.0441875928212912,0.04181344339411065,253.0,5.537334267018537,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,10,6157,23,0.0441875928212912,0.04547784520130109,113.0,4.736198448394496,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0
