panorama_identity,array_index,building_scene_id,split,path,size_bytes,sha256_actual,sha256_listing,sha_match,original_width,original_height,spatial_feature_version
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,0,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,56493,ec966bfd680439ab1f64d59ab4fdd6b709587fbb9aaef77a0cb7526ba8dbda3a,ec966bfd680439ab1f64d59ab4fdd6b709587fbb9aaef77a0cb7526ba8dbda3a,True,1024,512,spatial_image_evidence_pil_wrap_v2
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,1,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,54819,5342be1387a5c7b0cf77747589cd0b490a2d41a1f3fe3e38cc252c365ab52fd6,5342be1387a5c7b0cf77747589cd0b490a2d41a1f3fe3e38cc252c365ab52fd6,True,1024,512,spatial_image_evidence_pil_wrap_v2
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,2,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,56883,577ee28803b86d5e00a8667aca7d3bbf0ba391aa65925ad932ddbb705b18b1b3,577ee28803b86d5e00a8667aca7d3bbf0ba391aa65925ad932ddbb705b18b1b3,True,1024,512,spatial_image_evidence_pil_wrap_v2
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,3,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.jpg,48066,beaf423d5b5ec24c3fcc583ed1268e7a502c41744781f8d916e65650b379f388,beaf423d5b5ec24c3fcc583ed1268e7a502c41744781f8d916e65650b379f388,True,1024,512,spatial_image_evidence_pil_wrap_v2
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,4,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.jpg,73666,1b9dd41ec4693eb3c854826a94bc75e2360018d841031ddc6d7cd35c4c9dcd7d,1b9dd41ec4693eb3c854826a94bc75e2360018d841031ddc6d7cd35c4c9dcd7d,True,1024,512,spatial_image_evidence_pil_wrap_v2
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,5,7y3sRwLe3Va,internal_holdout,data/mp3d_layout/img_v/7y3sRwLe3Va_fdab6422162e49db822a37178ab70481.jpg,39244,993dbaf04abb720d56e0c00163d27d34e076b0f658ae79344df5d6b97a4c4416,993dbaf04abb720d56e0c00163d27d34e076b0f658ae79344df5d6b97a4c4416,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,6,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.jpg,58039,64dcf4b257dbd513ba934e2a8e5d9c5e370c270c96ac07c6377a38e50d30c7a7,64dcf4b257dbd513ba934e2a8e5d9c5e370c270c96ac07c6377a38e50d30c7a7,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,7,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.jpg,65440,1ba24e44195a9d23e58ac7d2b8e91329b1ad0e6aec0a306415d441b2f386f706,1ba24e44195a9d23e58ac7d2b8e91329b1ad0e6aec0a306415d441b2f386f706,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,8,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,51059,4149c3888c348725935b52d4d21dc11f4d5eba2ff7a6e30515830ed941267d71,4149c3888c348725935b52d4d21dc11f4d5eba2ff7a6e30515830ed941267d71,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,9,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b.jpg,47648,ec6bf0ef00092b7876ac46ccd0ec83b615559266d53be87385810c5a4aa47de7,ec6bf0ef00092b7876ac46ccd0ec83b615559266d53be87385810c5a4aa47de7,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,10,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5.jpg,62691,a08917387f25113e093ecaa569af936b7a4a8083fd65d5e4538a82ceba4345af,a08917387f25113e093ecaa569af936b7a4a8083fd65d5e4538a82ceba4345af,True,1024,512,spatial_image_evidence_pil_wrap_v2
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,11,B6ByNegPMKs,development,data/mp3d_layout/img_v/B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6.jpg,62327,df1d3266bb60f3c420f89566257073de3ec2cf4ba16be40f05c1dbd5cab4a163,df1d3266bb60f3c420f89566257073de3ec2cf4ba16be40f05c1dbd5cab4a163,True,1024,512,spatial_image_evidence_pil_wrap_v2
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,12,UwV83HsGsw3,development,data/mp3d_layout/img_v/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.jpg,53417,9a998e6c90e503b24098f67aeed9a9b7045064975826ce405556101fd17a77e7,9a998e6c90e503b24098f67aeed9a9b7045064975826ce405556101fd17a77e7,True,1024,512,spatial_image_evidence_pil_wrap_v2
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,13,UwV83HsGsw3,development,data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg,52534,091cf91d7b471c25a68a02533ee1cddde5416b33475c07844cc6a28ff9d69ef4,091cf91d7b471c25a68a02533ee1cddde5416b33475c07844cc6a28ff9d69ef4,True,1024,512,spatial_image_evidence_pil_wrap_v2
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,14,UwV83HsGsw3,development,data/mp3d_layout/img_v/UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980.jpg,47729,cc9dcc7b7c2bcf830a89a4123379d9e86280e47e6fb2c966f7cc54e1bab3f409,cc9dcc7b7c2bcf830a89a4123379d9e86280e47e6fb2c966f7cc54e1bab3f409,True,1024,512,spatial_image_evidence_pil_wrap_v2
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,15,X7HyMhZNoso,development,data/mp3d_layout/img_v/X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302.jpg,73019,57bac4aa16c519b06b1f22d88097233f0d7c41d5dee98f45f1455fc6dff04f8a,57bac4aa16c519b06b1f22d88097233f0d7c41d5dee98f45f1455fc6dff04f8a,True,1024,512,spatial_image_evidence_pil_wrap_v2
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,16,X7HyMhZNoso,development,data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg,51516,491ff05cf27c0ecb3d42d61b8610ff4bd5c4a878e096d5f24ebbff9a303d66de,491ff05cf27c0ecb3d42d61b8610ff4bd5c4a878e096d5f24ebbff9a303d66de,True,1024,512,spatial_image_evidence_pil_wrap_v2
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,17,Z6MFQCViBuw,internal_holdout,data/mp3d_layout/img_v/Z6MFQCViBuw_2008e72476f84104858e908beeac0193.jpg,120624,e80b0306b6c53446a71bcb2dfa7f892d5e8911f40be074a0ab3ef1d87ea54424,e80b0306b6c53446a71bcb2dfa7f892d5e8911f40be074a0ab3ef1d87ea54424,True,1024,512,spatial_image_evidence_pil_wrap_v2
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,18,Z6MFQCViBuw,internal_holdout,data/mp3d_layout/img_v/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.jpg,122908,61d873f87cf8faf371564d3b7557822720611b404aecd74efcf66380ac85ca5b,61d873f87cf8faf371564d3b7557822720611b404aecd74efcf66380ac85ca5b,True,1024,512,spatial_image_evidence_pil_wrap_v2
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,19,Z6MFQCViBuw,internal_holdout,data/mp3d_layout/img_v/Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d.jpg,130268,8185c8f4d98fa2216d0a0cf751d2ba86d4596a765c4f675e9f1d94ba276bc31a,8185c8f4d98fa2216d0a0cf751d2ba86d4596a765c4f675e9f1d94ba276bc31a,True,1024,512,spatial_image_evidence_pil_wrap_v2
