panorama_identity,building_scene_id,split,stage,candidate_annotation_id,worker_id,descriptor_source,geometry_rule_manifest,reads_gt,reads_reference,reads_quality,parse_status,parse_reason,point_count,layout_corner_count,point_count_even,pairing_valid,duplicate_x_absent,top_floor_order_valid,topology_valid
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,0f006ad814591f20f1d7,27,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,a5582527e1e55759fca4,28,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,ddc38d03eaf0ed686dbe,29,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,762aad63d41c0473582f,30,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,944fc693a5243b08b5ee,31,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,d37f314fba3b67c55956,32,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,9e082eaf47377454a352,33,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,779f777343654b55ad95,34,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,3e053dc275632e30f220,35,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,beebb1979f052693f701,36,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,development,C1,1623fbedf957f0be9421,37,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,12,6,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,3c91745dff848ace0009,27,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,10,5,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,0f5e3fb0af36b839fed2,28,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,12,6,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,9fe10525cafa9b114fa8,29,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,10,5,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,4bee42371b5ecdf799ee,30,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,10,5,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,169fc30c432425281989,31,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,10,5,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,e4c35e7a0869954598a0,32,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,10,5,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,f4fb215d725bea31d572,33,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,12,6,True,True,True,True,True
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,development,C1,a56ee6d45d0f25f3eed8,34,formal_normalize_geometry_v1,docs/thesis_main/geometry_loo_candidate_rule_manifest_v1.json,False,False,False,valid,,8,4,True,True,True,True,True
