task_id,annotation_id,annotator_id,base_task_id,normalized_title,title,image,total_annotations,total_predictions,runtime_condition,task_join_status,matched_registry_uid,matched_registry_candidate_count,planned_stage,planned_condition,dataset_group,source_pool,schema_version,annotation_created_at,annotation_updated_at,raw_field_profile,raw_choice_fields,quality_choices,scope_choices,difficulty_choices,model_issue_choices,tool_issue_choices,normalized_scope,normalized_difficulty,normalized_model_issue,scope_missing,difficulty_missing,model_issue_missing,is_oos,is_fail,lead_time_seconds,geometry_present,result_count
460,88,1,x7hymhznoso_b6f452209a62499795e5bd137214a7f9,x7hymhznoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,1,1,semi,unmatched,,0,,,,,v2_structured,2026-02-09T07:31:21.994926Z,2026-02-09T07:31:21.994942Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,oos_geometry,residual,overextend_adjacent,,oos_geometry,residual,overextend_adjacent,False,False,False,true,false,406.636,True,28
466,89,1,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,b6bynegpmks_bdc0695537064383b5cc5dbcff2a0b99,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99.png,1,1,semi,matched_by_title,stage3_validation_semi:58,1,validation_semi,semi,Validation_semi,validation_semi,v2_structured,2026-02-09T07:35:10.563669Z,2026-02-09T07:35:10.563686Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,trivial;occlusion,acceptable,,normal,trivial;occlusion,acceptable,False,False,False,false,false,19.798,True,12
467,90,1,X7HyMhZNoso_445ae0203f294b5c9889505576e37998,x7hymhznoso_445ae0203f294b5c9889505576e37998,X7HyMhZNoso_445ae0203f294b5c9889505576e37998.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/X7HyMhZNoso_445ae0203f294b5c9889505576e37998.png,1,1,semi,matched_by_title_condition,stage3_semiauto_test:9,2,semiauto_test,semi,SemiAuto_Test,semiauto_test,v2_structured,2026-02-09T07:35:49.745273Z,2026-02-09T07:35:49.745291Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,occlusion,acceptable,,normal,occlusion,acceptable,False,False,False,false,false,32.071,True,12
468,91,1,unb9qfrl6hy_1434b965c3c147419c4ff40310633b58,unb9qfrl6hy_1434b965c3c147419c4ff40310633b58,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,1,1,semi,unmatched,,0,,,,,v2_structured,2026-02-09T07:36:36.330372Z,2026-02-09T07:36:36.330391Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,occlusion,acceptable,,normal,occlusion,acceptable,False,False,False,false,false,20.771,True,16
469,92,1,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,q9vso1vncic_a412536ff52747d3b078f66e764cf103,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103.png,1,1,semi,matched_by_title,stage1_prescreen_semi:6,1,prescreen_semi,semi,PreScreen_semi,prescreen_semi,v2_structured,2026-02-09T07:37:14.893634Z,2026-02-09T07:37:14.893650Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,occlusion;low_texture,acceptable,,normal,occlusion;low_texture,acceptable,False,False,False,false,false,31.83,True,12
470,93,1,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,uwv83hsgsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.png,1,1,semi,matched_by_title_condition,stage3_semiauto_test:97,2,semiauto_test,semi,SemiAuto_Test,semiauto_test,v2_structured,2026-02-09T07:38:26.679449Z,2026-02-09T07:38:26.679465Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,seam;reflection,overextend_adjacent,,normal,seam;reflection,overextend_adjacent,False,False,False,false,false,67.056,True,24
471,94,1,b6bynegpmks_b5dcbc0109a344a281d8ae467ccf3fc2,b6bynegpmks_b5dcbc0109a344a281d8ae467ccf3fc2,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.png,1,1,semi,ambiguous,,2,,,,,v2_structured,2026-02-09T07:39:03.145185Z,2026-02-09T07:39:03.145201Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,trivial;reflection,acceptable,,normal,trivial;reflection,acceptable,False,False,False,false,false,28.857,True,12
472,95,1,wc2jmjhgnzb_074ac1d681e3415081b89cf582e1e995,wc2jmjhgnzb_074ac1d681e3415081b89cf582e1e995,wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995.png,1,1,semi,ambiguous,,2,,,,,v2_structured,2026-02-09T07:40:17.858045Z,2026-02-09T07:40:17.858062Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,low_texture,acceptable,,normal,low_texture,acceptable,False,False,False,false,false,69.718,True,12
473,96,1,q9vso1vncic_3e5aacbc10904d4b88660a3cb91efcb9,q9vso1vncic_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.png,1,1,semi,unmatched,,0,,,,,v2_structured,2026-02-09T07:41:54.672841Z,2026-02-09T07:41:54.672859Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,oos_geometry,occlusion;residual,corner_drift;topology_failure;over_parsing;fail,,oos_geometry,occlusion;residual,corner_drift;topology_failure;over_parsing;fail,False,False,False,true,true,313.4,True,24
474,40,3,unb9qfrl6hy_8b6f1b0b025848b482e747ab6a027b97,unb9qfrl6hy_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,4,1,semi,unmatched,,0,,,,,v2_structured,2026-01-14T08:34:06.992831Z,2026-01-16T02:55:27.389690Z,difficulty;model_issue;scope,difficulty;model_issue;scope,,normal,occlusion,corner_drift,,normal,occlusion,corner_drift,False,False,False,false,false,1124.848,True,16
