task_id,image,primary_model_issue,model_issue_categories,model_issue_tags,sources,manual_note,trap_semi_paths,prescreen_used,semi_use
459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,跨门扩张,跨门扩张;过度解析,overextend_adjacent;over_parsing,人工记录;旧标注JSON,过度解析-跨门扩张；更适合semi,,否,manual必入_可作semi候选
461,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
463,uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
464,Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
465,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
466,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
467,X7HyMhZNoso_445ae0203f294b5c9889505576e37998.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
468,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
469,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.png,跨门扩张,跨门扩张,overextend_adjacent,旧标注JSON,,,是,排除_已用于PreScreen
471,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
472,wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.png,模型预标注失败/拓扑失败,角点错位/飘移;模型预标注失败/拓扑失败;过度解析;跨门扩张,corner_drift;topology_failure;over_parsing;fail;overextend_adjacent,人工记录;旧标注JSON,跨门扩张；适合semi但GT待修正,,否,manual必入_GT修正后可作semi
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,角点错位/飘移,角点错位/飘移;角点重复,corner_drift;corner_duplicate;corner_mismatch,trap/semi文件夹;旧标注JSON,,trap集\semi\角点错位\task474\67d0c6ddbb265d04a95fb19258e87b2e.png;trap集\semi\角点错位\task474\uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.png,否,可作semi候选
475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c.png,模型预标注失败/拓扑失败,模型预标注失败/拓扑失败;角点错位/飘移,fail;corner_drift,trap/semi文件夹;旧标注JSON,,trap集\semi\模型预标注失败\task475(低优先)\4382f591efedd8b61549137524472b8d.png;trap集\semi\模型预标注失败\task475(低优先)\wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c.png,否,可作semi候选
476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2.png,模型预标注失败/拓扑失败,角点错位/飘移;角点重复;模型预标注失败/拓扑失败,corner_drift;corner_duplicate;fail,旧标注JSON,,,是,排除_已用于PreScreen
477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359.png,模型预标注失败/拓扑失败,角点重复;角点错位/飘移;模型预标注失败/拓扑失败,corner_duplicate;corner_drift;fail,trap/semi文件夹;旧标注JSON,,trap集\semi\角点重复\task477\5c724bf1a14a2805ebcd6e6edef57e02.png;trap集\semi\角点重复\task477\uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359.png,是,排除_已用于PreScreen
478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945.png,模型预标注失败/拓扑失败,角点错位/飘移;角点重复;模型预标注失败/拓扑失败;过度解析,corner_drift;corner_duplicate;topology_failure;over_parsing;fail,旧标注JSON,,,否,可作semi候选
480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,否,可作semi候选
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.png,过度解析,角点错位/飘移;过度解析,corner_drift;over_parsing,旧标注JSON,,,否,可作semi候选
482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.png,模型预标注失败/拓扑失败,跨门扩张;角点错位/飘移;角点重复;模型预标注失败/拓扑失败;过度解析,overextend_adjacent;corner_drift;corner_duplicate;topology_failure;over_parsing;fail,旧标注JSON,,,否,可作semi候选
483,rPc6DW4iMge_0a84204ae666476f97095e784a772323.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
484,X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
486,wc2JMjhGNzB_ea42bf32a1984ae399c9f96d9b62b635.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
488,UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
489,wc2JMjhGNzB_2880c0784aa0462a8070b30416752de6.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
490,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
491,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d.png,角点错位/飘移,角点错位/飘移;模型标注质量好,corner_drift;acceptable,旧标注JSON,,,否,可作semi候选
492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76.png,角点错位/飘移,角点错位/飘移;模型标注质量好,corner_drift;acceptable,trap/semi文件夹;旧标注JSON,,trap集\semi\模型标注质量好\task492\859da68e26695ea59bae8d84a069d3ff.png;trap集\semi\模型标注质量好\task492\e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76.png,是,排除_已用于PreScreen
493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814.png,跨门扩张,跨门扩张;角点重复,overextend_adjacent;corner_duplicate,trap/semi文件夹;旧标注JSON,,trap集\semi\跨门扩张\task493\e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814.png;trap集\semi\跨门扩张\task493\fc223a0805f6c48284bea8d42be2eb83.png,是,排除_已用于PreScreen
494,B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5.png,跨门扩张,跨门扩张;角点错位/飘移;过度解析,overextend_adjacent;corner_drift;over_parsing,旧标注JSON,,,是,排除_已用于PreScreen
496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,是,排除_已用于PreScreen
497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,是,排除_已用于PreScreen
498,b8cTxDM8gDG_d38c4ae95f5b4640a2696b923b80d1f4.png,跨门扩张,跨门扩张;角点错位/飘移;角点重复;过度解析,overextend_adjacent;corner_drift;corner_duplicate;over_parsing,旧标注JSON,,,否,排除_人工已判不适合
