canonical_annotation_id,annotation_identity,image_id,building_id,context_key,stage,block_index,worker_id,raw_condition,assistance_exposure,raw_annotation_version_id,raw_export_path,coordinate_width,coordinate_height,raw_point_count,effective_point_count,processing_status,dropped_point_index_zero_based,calculation_included,exclusion_reason,unassisted_manual_included,distance_recompute_required,confirmation_source,legacy_repair_audit_source,imputed_point,imputation_provenance,review_decision,orphan_candidate_count,dropped_coordinate_json
8487d3e12302f924,P1|0|30|3105|17|3408,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,P1|0|UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940|oos,P1,0,17,oos,none,P1|30|3105|17|3408,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-30-at-2026-06-30-09-00-69d8051b.json,1024,512,9,8,confirmed_point_removed,3,True,,True,True,user_review_20260909,,False,,"{""judgment_number"": 1, ""audit_number"": 7, ""canonical_annotation_id"": ""8487d3e12302f924"", ""image_id"": ""UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940"", ""worker_id"": ""17"", ""raw_count"": 9, ""candidate_index_zero_based"": 3, ""candidate_point"": [523.9927927927928, 228.78558558558558], ""figure"": ""judge_01.png"", ""user_decision"": {""action"": ""remove_confirmed_point"", ""user_words"": ""确实是手滑"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_calculation_view""}}",,
cf3e0b1c47e35600,P1|0|28|3054|19|4615,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1|0|UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,P1,0,19,manual,none,P1|28|3054|19|4615,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,1024,512,9,8,confirmed_point_removed,1,True,,True,True,user_review_20260909,,False,,"{""judgment_number"": 2, ""audit_number"": 10, ""canonical_annotation_id"": ""cf3e0b1c47e35600"", ""image_id"": ""UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65"", ""worker_id"": ""19"", ""raw_count"": 9, ""candidate_index_zero_based"": 1, ""candidate_point"": [544.0802005012531, 188.6315789473684], ""figure"": ""judge_02.png"", ""user_decision"": {""action"": ""remove_confirmed_point"", ""user_words"": ""可以去掉"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_calculation_view""}}",,
ee2e59495db1c2bf,P1|0|28|3053|19|4614,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1|0|UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,P1,0,19,manual,none,P1|28|3053|19|4614,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,1024,512,7,7,unconfirmed_odd_unchanged,,True,,True,False,user_review_20260909,,False,,"{""judgment_number"": 3, ""audit_number"": 11, ""canonical_annotation_id"": ""ee2e59495db1c2bf"", ""image_id"": ""UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596"", ""worker_id"": ""19"", ""raw_count"": 7, ""candidate_index_zero_based"": 0, ""candidate_point"": [352.8822055137845, 139.86967418546365], ""figure"": ""judge_03.png"", ""user_decision"": {""action"": ""leave_unchanged"", ""user_words"": ""第二个不管"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_calculation_view""}}",,
36a4d17901b03d45,P1|0|28|3062|19|4623,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1|0|q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,P1,0,19,manual,none,P1|28|3062|19|4623,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,1024,512,9,8,confirmed_point_removed,4,True,,True,True,user_review_20260909,,False,,"{""judgment_number"": 4, ""audit_number"": 14, ""canonical_annotation_id"": ""36a4d17901b03d45"", ""image_id"": ""q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e"", ""worker_id"": ""19"", ""raw_count"": 9, ""candidate_index_zero_based"": 4, ""candidate_point"": [817.4035087719299, 405.4937343358395], ""figure"": ""judge_04.png"", ""user_decision"": {""action"": ""remove_confirmed_point"", ""user_words"": ""4: 删除"", ""application_status"": ""applied_to_calculation_view"", ""date"": ""2026-09-09""}}",,
c14fda0522180ac6,P1|0|41|3181|26|3838,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,P1|0|q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb|oos,P1,0,26,oos,none,P1|41|3181|26|3838,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,1024,512,2,,confirmed_response_excluded,,False,user_confirmed_individual_exclusion,False,False,user_review_20260909,,False,,"{""canonical_annotation_id"": ""c14fda0522180ac6"", ""annotation_identity"": ""P1|0|41|3181|26|3838"", ""image_id"": ""q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb"", ""worker_id"": ""26"", ""effective_point_count"": 2, ""reason"": ""only_one_or_two_points_obviously_incomplete"", ""scope"": ""individual_response_only"", ""user_decision"": {""action"": ""exclude_response_temporarily"", ""application_status"": ""applied_to_calculation_view""}}",,
3a772c253f77d4b7,P1|0|39|3146|30|4212,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1|0|q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,P1,0,30,manual,none,P1|39|3146|30|4212,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,1024,512,9,10,confirmed_point_added,,True,,True,True,user_review_20260909,,True,"{""action"": ""add_confirmed_point"", ""added_coordinate_1024x512"": [654.3609756097561, 352.76014517], ""preserve_all_original_points"": true, ""append_to_calculation_copy_only"": true, ""imputed_not_original_worker_response"": true, ""reference_evidence"": ""ADD_POINT_PROPOSALS.json"", ""user_words"": ""对的,完全正确! 非常棒"", ""application_status"": ""confirmed_pending_next_calculation_view_build"", ""date"": ""2026-09-09""}","{""judgment_number"": 5, ""audit_number"": 15, ""canonical_annotation_id"": ""3a772c253f77d4b7"", ""image_id"": ""q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4"", ""worker_id"": ""30"", ""raw_count"": 9, ""candidate_index_zero_based"": 2, ""candidate_point"": [654.3609756097561, 169.83414634146342], ""figure"": ""judge_05.png"", ""user_decision"": {""action"": ""add_confirmed_point"", ""added_coordinate_1024x512"": [654.3609756097561, 352.76014517], ""preserve_all_original_points"": true, ""append_to_calculation_copy_only"": true, ""imputed_not_original_worker_response"": true, ""reference_evidence"": ""ADD_POINT_PROPOSALS.json"", ""user_words"": ""对的,完全正确! 非常棒"", ""application_status"": ""applied_to_calculation_view"", ""date"": ""2026-09-09""}}",,
7f82401488af7306,P1|0|39|3150|26|3825,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1|0|rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,P1,0,26,manual,none,P1|39|3150|26|3825,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,1024,512,1,,confirmed_response_excluded,,False,user_confirmed_individual_exclusion,False,False,user_review_20260909,,False,,"{""canonical_annotation_id"": ""7f82401488af7306"", ""annotation_identity"": ""P1|0|39|3150|26|3825"", ""image_id"": ""rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5"", ""worker_id"": ""26"", ""effective_point_count"": 1, ""reason"": ""only_one_or_two_points_obviously_incomplete"", ""scope"": ""individual_response_only"", ""user_decision"": {""action"": ""exclude_response_temporarily"", ""application_status"": ""applied_to_calculation_view""}}",,
40ac299ba105fdef,P1|0|39|3152|37|4510,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,P1|0|uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,P1,0,37,manual,none,P1|39|3152|37|4510,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,1024,512,11,12,confirmed_point_added,,True,,True,True,user_review_20260909,,True,"{""action"": ""add_confirmed_point"", ""added_coordinate_1024x512"": [990.0247019565802, 379.165331243], ""preserve_all_original_points"": true, ""append_to_calculation_copy_only"": true, ""imputed_not_original_worker_response"": true, ""reference_evidence"": ""ADD_POINT_PROPOSALS.json"", ""user_words"": ""对的,完全正确! 非常棒"", ""application_status"": ""confirmed_pending_next_calculation_view_build"", ""date"": ""2026-09-09""}","{""judgment_number"": 6, ""audit_number"": 18, ""canonical_annotation_id"": ""40ac299ba105fdef"", ""image_id"": ""uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5"", ""worker_id"": ""37"", ""raw_count"": 11, ""candidate_index_zero_based"": 10, ""candidate_point"": [990.0247019565802, 171.49436155250106], ""figure"": ""judge_06.png"", ""user_decision"": {""action"": ""add_confirmed_point"", ""added_coordinate_1024x512"": [990.0247019565802, 379.165331243], ""preserve_all_original_points"": true, ""append_to_calculation_copy_only"": true, ""imputed_not_original_worker_response"": true, ""reference_evidence"": ""ADD_POINT_PROPOSALS.json"", ""user_words"": ""对的,完全正确! 非常棒"", ""application_status"": ""applied_to_calculation_view"", ""date"": ""2026-09-09""}}",,
e6701d3b7c423a86,P1|0|28|3059|19|4620,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,P1|0|wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,P1,0,19,manual,none,P1|28|3059|19|4620,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,1024,512,9,,confirmed_response_excluded,,False,user_confirmed_individual_exclusion,False,False,user_review_20260909,,False,,"{""judgment_number"": 7, ""audit_number"": 20, ""canonical_annotation_id"": ""e6701d3b7c423a86"", ""image_id"": ""wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31"", ""worker_id"": ""19"", ""raw_count"": 9, ""candidate_index_zero_based"": 4, ""candidate_point"": [655.719298245614, 78.27568922305764], ""figure"": ""judge_07.png"", ""user_decision"": {""action"": ""exclude_response_temporarily"", ""user_words"": ""7排除,8去掉,9去掉"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_calculation_view"", ""scope"": ""individual_response_only""}}",,
d1ded26e80b45fc5,P1|0|28|3056|19|4617,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,P1|0|wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,P1,0,19,manual,none,P1|28|3056|19|4617,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,1024,512,11,10,confirmed_point_removed,4,True,,True,True,user_review_20260909,,False,,"{""judgment_number"": 8, ""audit_number"": 21, ""canonical_annotation_id"": ""d1ded26e80b45fc5"", ""image_id"": ""wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e"", ""worker_id"": ""19"", ""raw_count"": 11, ""candidate_index_zero_based"": 4, ""candidate_point"": [650.5864661654135, 148.85213032581453], ""figure"": ""judge_08.png"", ""user_decision"": {""action"": ""remove_confirmed_point"", ""user_words"": ""7排除,8去掉,9去掉"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_calculation_view""}}",,
