task_id,base_task_id,bucket_dir,trap_family,current_scope_alias,scope_binary,difficulty_tags,model_issue_tags,has_kp,has_poly,has_txt,txt_role,geometry_truth_source,priority_annotation,priority_flag,has_folder_note,recommended_role,review_note_flag,needs_manual_review,default_eligible,directory_scope_mismatch,directory_scope_subtype_mismatch,notes
459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,OOS,边界不可判定,oos_open_boundary,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,True,oos_gate_candidate,True,True,True,False,False,"note_files=特别注意.md | 特别注意.md: 这张图片虽然有玻璃,但是它主要的问题可能还是这图片不闭合,图片右边还有个空间,但是看不太到,而且房间 不是规规矩矩的 曼哈顿图形,右边玻璃那是斜着的,我不确定该放在OOS 还是这个地方"
476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,OOS,"错层,天花板下凸",oos_split_level,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,oos_gate_candidate,False,False,True,False,False,
495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,OOS,"错层,天花板下凸",oos_split_level,oos,trivial,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,不确定算不算错层,special_review,False,oos_gate_candidate,True,True,True,False,False,priority_annotation=不确定算不算错层
496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,OOS,"错层,天花板下凸",oos_split_level,oos,seam,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,oos_gate_candidate,False,False,True,False,False,
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,OOS,几何假设不成立(弧形墙),oos_geometry,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,True,oos_gate_candidate,True,True,True,False,False,"note_files=特别注意.md | 特别注意.md: 这个场景有点复杂,有玻璃的干扰,同时玻璃的尽头好像是弧形的(我不太确定 这是否是拼接造成的弧形还是本来玻璃就是弧形的),我也好奇gt是怎么标注的"
529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,OOS,证据不足,oos_insufficient,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,True,oos_gate_candidate,True,True,True,False,False,"note_files=特别注意.md | 特别注意.md: 因为画面中间 偏右的墙挡住了太多东西,不太确定到底属于边界不可判断还是非曼哈顿(几何假设不成立),gt是怎么标的我也很好奇"
560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,OOS,边界不可判定,oos_geometry,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,"低优先,感觉可以标注",low_priority,False,oos_gate_candidate,True,True,False,False,True,"priority_annotation=低优先,感觉可以标注 | directory_scope_subtype_mismatch"
575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,OOS,"错层,天花板下凸",oos_split_level,oos,trivial,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,oos_gate_candidate,False,False,True,False,False,
609,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,OOS,边界不可判定,oos_open_boundary,oos,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,oos_gate_candidate,False,False,True,False,False,
661,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,OOS,"错层,天花板下凸",oos_split_level,oos,occlusion,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,oos_gate_candidate,False,False,True,False,False,
462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,拼接缝及拉伸,normal,in_scope,low_texture;seam,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,True,audit_only,True,True,False,False,False,"note_files=特别注意.md | 特别注意.md: 这个图片我自己来标,很久都没法保证3d图像的稳定性,而且 图片 里有一面墙向里面凹陷了,又因为拼接缝的原因,感觉没法标注到 真实角点,3d的预览图 没法真正成为一个立方体.你帮我查一下有没有gt标注,我想知道他是怎么标注的(我的标注文件里也应该有,你对比一下出的问题在哪)"
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,玻璃,normal,in_scope,occlusion;reflection,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,遮挡明显,normal,in_scope,occlusion,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,玻璃,normal,in_scope,occlusion;reflection,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,可能有歧义,special_review,False,manual_anchor_candidate,True,True,True,False,False,priority_annotation=可能有歧义
510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,拼接缝及拉伸,normal,in_scope,seam,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,遮挡明显,normal,in_scope,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,"低优先,有歧义",low_priority,True,audit_only,True,True,False,False,False,"priority_annotation=低优先,有歧义 | note_files=特别说明.md | 特别说明.md: 这个文件 模型完全失效,而且人 也基本没法标,墙复杂,房间结构有点复杂,有些 信息缺失的太严重,比如说图中左边的墙挡住了真实的墙角拐点. 我觉得甚至可以放到OOS的证据不足里了"
550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,非常简单,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,非常简单,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,玻璃,normal,in_scope,occlusion;reflection,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,非常简单,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
559,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,纹理弱 纯色墙,normal,in_scope,occlusion;low_texture;seam,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
562,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,遮挡明显,normal,in_scope,occlusion,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,遮挡明显,normal,in_scope,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,较为困难,special_review,False,manual_anchor_candidate,True,True,True,False,False,priority_annotation=较为困难
567,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,玻璃,normal,in_scope,reflection,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,低优先,low_priority,False,manual_non_anchor_candidate,True,True,False,False,False,priority_annotation=低优先
569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,纹理弱 纯色墙,normal,in_scope,low_texture,overextend_adjacent;corner_duplicate,True,False,True,legacy_mp3d_reference,project20_kp,"同时是一角多点,纹理弱",special_review,False,manual_anchor_candidate,True,True,True,False,False,"priority_annotation=同时是一角多点,纹理弱"
570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,拼接缝及拉伸,normal,in_scope,seam,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,同时是角点错位,special_review,False,manual_anchor_candidate,True,True,True,False,False,priority_annotation=同时是角点错位
578,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual,遮挡明显,normal,in_scope,occlusion,acceptable,True,True,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,True,True,False,False,poly_residue_present_in_raw_export
614,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,纹理弱 纯色墙,normal,in_scope,occlusion;low_texture,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
630,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,非常简单,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
635,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,遮挡明显,normal,in_scope,occlusion,overextend_adjacent;corner_duplicate,True,False,True,legacy_mp3d_reference,project20_kp,"低优先,有歧义,尽量不考虑",low_priority,False,manual_non_anchor_candidate,True,True,False,False,False,"priority_annotation=低优先,有歧义,尽量不考虑"
670,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,拼接缝及拉伸,normal,in_scope,seam,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
676,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,遮挡明显,normal,in_scope,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,"低优先,太难标注了,暂时不考虑",low_priority,False,manual_non_anchor_candidate,True,True,False,False,False,"priority_annotation=低优先,太难标注了,暂时不考虑"
677,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,manual,遮挡明显,normal,in_scope,trivial,overextend_adjacent;corner_duplicate,True,False,True,legacy_mp3d_reference,project20_kp,略微有点遮挡,special_review,False,manual_anchor_candidate,True,True,True,False,False,priority_annotation=略微有点遮挡
687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,拼接缝及拉伸,normal,in_scope,seam,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,遮罩,normal,in_scope,seam;low_quality,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,"低优先,不确定,难标注",low_priority,True,manual_non_anchor_candidate,True,True,False,False,False,"priority_annotation=低优先,不确定,难标注 | note_files=特别注意.md | 特别注意.md: 当前这个目录仍应视为 `manual` 里的困难子集，但要区分两个样本：  - `696(低优先,不确定,难标注)`：继续按低优先处理，不进入人工锚点集 - `711(中低优先,难标注)`：当前作为保留例外，不按普通 `低优先` 自动排除；如果遮罩 family 只保留一个可操作样本，优先级是 `711 > 696`  当前最稳的理解是：  - 这两个样本都不适合直接当默认的 expert-anchor 主池 - `696` 继续保留为"
697,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,玻璃,normal,in_scope,reflection,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
707,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,遮挡明显,normal,in_scope,occlusion,corner_drift,True,True,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,True,True,False,False,poly_residue_present_in_raw_export
711,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,遮罩,normal,in_scope,occlusion;reflection,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,"中低优先,难标注",special_review,True,manual_non_anchor_candidate,True,True,True,False,False,"priority_annotation=中低优先,难标注 | note_files=特别注意.md | 特别注意.md: 当前这个目录仍应视为 `manual` 里的困难子集，但要区分两个样本：  - `696(低优先,不确定,难标注)`：继续按低优先处理，不进入人工锚点集 - `711(中低优先,难标注)`：当前作为保留例外，不按普通 `低优先` 自动排除；如果遮罩 family 只保留一个可操作样本，优先级是 `711 > 696`  当前最稳的理解是：  - 这两个样本都不适合直接当默认的 expert-anchor 主池 - `696` 继续保留为"
714,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,玻璃,normal,in_scope,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,高难度,special_review,False,manual_anchor_candidate,True,True,True,False,False,priority_annotation=高难度
717,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,遮挡明显,normal,in_scope,occlusion;reflection,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,manual_anchor_candidate,False,False,True,False,False,
