task_id,base_task_id,bucket_dir,family_dir,priority_annotation,priority_flag,recommended_role,review_note_flag,default_eligible,scope,scope_binary,geometry_truth_source,adjudication_status
459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,OOS,边界不可判定,,default,oos_gate_candidate,True,True,oos_open_boundary,oos,project20_kp,working_consensus_not_final_gold
476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,OOS,"错层,天花板下凸",,default,oos_gate_candidate,False,True,oos_split_level,oos,project20_kp,working_consensus_not_final_gold
495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,OOS,"错层,天花板下凸",不确定算不算错层,special_review,oos_gate_candidate,True,True,oos_split_level,oos,project20_kp,working_consensus_not_final_gold
496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,OOS,"错层,天花板下凸",,default,oos_gate_candidate,False,True,oos_split_level,oos,project20_kp,working_consensus_not_final_gold
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,OOS,几何假设不成立(弧形墙),,default,oos_gate_candidate,True,True,oos_geometry,oos,project20_kp,working_consensus_not_final_gold
529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,OOS,证据不足,,default,oos_gate_candidate,True,True,oos_insufficient,oos,project20_kp,working_consensus_not_final_gold
560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,OOS,边界不可判定,"低优先,感觉可以标注",low_priority,oos_gate_candidate,True,False,oos_geometry,oos,project20_kp,working_consensus_not_final_gold
575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,OOS,"错层,天花板下凸",,default,oos_gate_candidate,False,True,oos_split_level,oos,project20_kp,working_consensus_not_final_gold
609,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,OOS,边界不可判定,,default,oos_gate_candidate,False,True,oos_open_boundary,oos,project20_kp,working_consensus_not_final_gold
661,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,OOS,"错层,天花板下凸",,default,oos_gate_candidate,False,True,oos_split_level,oos,project20_kp,working_consensus_not_final_gold
462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,拼接缝及拉伸,,default,audit_only,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,玻璃,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,遮挡明显,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,玻璃,可能有歧义,special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,拼接缝及拉伸,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,遮挡明显,"低优先,有歧义",low_priority,audit_only,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,非常简单,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,非常简单,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,玻璃,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,非常简单,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
559,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,纹理弱 纯色墙,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
562,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,遮挡明显,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,遮挡明显,较为困难,special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
567,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,玻璃,低优先,low_priority,manual_non_anchor_candidate,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,纹理弱 纯色墙,"同时是一角多点,纹理弱",special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,拼接缝及拉伸,同时是角点错位,special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
578,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual,遮挡明显,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
614,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,纹理弱 纯色墙,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
