image_id,condition,scene,main_space,trigger,numerical_evidence,canonical_ids,workers,representative_canonical_ids,numeric_cluster_sizes,location,question,affected_conclusion,user_decision,user_reason
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,通行与连接,work,medium_partition_weak_separation,cross-compatible=0.6667; min sub80=0.8664,3f1d4cacc3faf7d7;75ca740199bbfca6;e2c06769623e335c;f61cafa7e89ea17e;cd59ff6392d0007b;9664309abeb6b078;7b70014ef90dfa00;77ab07a0a6d85137;033e34e10addfeb4;be4265df16f250c5;ee6734855a1fce2c;69dd02c653b999da;158cdf9ee8269d7a;ae9eebd3c841d936;f8548145ddefef82;dab549f7649c26f5;d5ec1431385bed24;01111484ace4b94e;283873b63fff0570;0a8c62a27fbaac21;d709cefe9dcba87b;71917bb13f847c7d;803f0a9e869112a9;9a14ee08aba6a9c3,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,3f1d4cacc3faf7d7;75ca740199bbfca6;e2c06769623e335c;f61cafa7e89ea17e;cd59ff6392d0007b;d709cefe9dcba87b,12;7;2;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,卧室,sleep,medium_partition_weak_separation,cross-compatible=0.6842; min sub80=0.9440,a53c36c9bf95be2b;ae9ad15247583bd3;50a0f95f8fc38be2;6adfe32721762388;df7f18116de27c41;5d6bb8dddcf527e1;1a5c416e7e7c6cfa;8c7bb20e866330e5;a1c92c4eba590882;874f47b61ab0f967;b6c9e63c1de72fbf;043215a11b3c07f6;a3df2f62a653fcdb;b9d6531c224d6003;059397cbcdc2fd99;c1ce3be5ac91205f;39f325131750b755;95caac6d8e2b34ae;aa27fee9b505606b;39b7f2008e3d4afe;765b308f64278de8;3f1ad1a502b50429;e85a8e90e0c6b636;5a50132cf972f527,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a53c36c9bf95be2b;ae9ad15247583bd3;50a0f95f8fc38be2,19;3;2,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,卧室,sleep,medium_partition_weak_separation,cross-compatible=0.7625; min sub80=0.8582,a98f6bc364bdef1b;6c28d1705fb5c4b4;4693ec5fcc3f09fc;afc3de4b01f9bf3b;0df21449d15d6f28;137415ffe0725161;ce3536534b35ed2e;f8c614ff9afdc5fe;67807e1e55df3898;bb7b44da838a4ce1;27ae2237bce7474e;d46f9d2f3c43ead2;13e99fa97abd8cb5;bcaaea256c246b28;464f553a46a042bd;caf781b6512ea9b2;4247b935b5d68e6a;a01f38f168e18ba4;a800256cd64a13c9;f05be155437bb650;c3d7b507aa2d788d;4664edbc4eb51884;d73bc90a26b0976b;e7e6e4180354bfe2,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,4664edbc4eb51884;4693ec5fcc3f09fc,20;4,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,起居与休闲,living,medium_partition_weak_separation,cross-compatible=0.8482; min sub80=0.7540,a30abcda8418bd75;2129afe06ece6a6d;e30721b054460f15;7ae79f4e06a3ade1;a73e732348cf85a5;ba9f60a6ed19b5fd;baa09826ba02dd36;d2685886cb5bbef7;8bd66e889fbae752;8516eea42fb75c88;975c986cabcb9ac6;f5d0a36b008eb488;a927ea00f7335c7c;b16f17d58f7aabf2;497e4819ad1ce59c;deb77ec3f2ddf78f;d817ad3534ab554d;d2d4c49ab227aa87;c54bc02d1fcd094e;080e6e5be0c803cd;71a08671b7d9283b;ebe5710d577ed718;cb5459e346731607;3cb548d93b1c91ac,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,d2d4c49ab227aa87;e30721b054460f15;c54bc02d1fcd094e,16;7;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,卧室,sleep,medium_partition_weak_separation,cross-compatible=0.9375; min sub80=0.9164,ace70b27506798d5;7f2a70bd247387c9;7e2290dbca4fb383;f034ac00d128e91e;9f525c104867f074;99962e6f9aff29ba;97cebd93c1965f0f;2e18c2a7c8a3d34b;bcb79f6838d28c17;a05dc6872141702f;315cbd3cacd491e8;251bbbe64ea0a5b5;af7a3a1cdf745e0c;641c1f6f413ead20;b6b6d4c497cda8e2;f573b76a994f559e;a288b216f33e8695;38b4c355b2582da5;e791bdd39ceb0454;d216cfad4f530a31;05c34463f238a2c1;cdfc8962c0bbffa6;76186667a8178edb;5df4a26ad4def72a,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,38b4c355b2582da5;7f2a70bd247387c9;7e2290dbca4fb383,16;6;2,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,卫浴,unknown,medium_partition_weak_separation,cross-compatible=0.5682; min sub80=0.9679,61f905607ceffa7f;9b8003c65abc4837;9255dadcdf79c909;087627a67194bafe;405e6e45af7f5c6b;5b7f902df4c57cd4;03dae7081bc7d6bb;012915d009824af0;85ba1d16d74efa67;b1c252a830c50fb3;25e8f7f37f87cc75;ed042c9ccaa850e3;add755f9c7c57766;fd7793b6709c8db9;b09742748a808617;28388a75252778c7;aa829dfff6bee382;403ee2ee4d1242bd;ba630f16a9639561;28e01bd0877270ca;0b86a50130fd298a;94f15108f5d9ac14;63f4a9a7ba3739c1;b6dc5d3075742a91,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,61f905607ceffa7f;28388a75252778c7,22;2,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,卫浴,bathroom,medium_partition_weak_separation,cross-compatible=0.8376; min sub80=0.8455,d933c38ad0b2b104;5bad87d19a0b5760;aa6b631e83349cba;3e20ca93bd05958e;a05c820a5012751c;2ab3a85613189faa;1c10cbd1c1cbbd74;a135a4aaf615d5db;7485c5f92ef686bc;0054e620b22551b8;7b099f9e593d3204;1dd5b2305fbffcff;47a780e27988de5d;7c4d53d444805ad4;454f4a7ca0ed8cda;3bcf5dc561e2d916;6d17201775811123;d15abea6c32062e1;ed8e2934ebcee5bb;fb4210e33d7c2093;15f4bf968e467bdc;b106f4f47297f77d;f13bd8e8570762ef;62a32cfa3607ea53,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,f13bd8e8570762ef;7c4d53d444805ad4;aa6b631e83349cba;15f4bf968e467bdc,13;9;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,卧室,sleep,medium_partition_weak_separation,cross-compatible=0.7639; min sub80=0.8570,14346fa7f625df2e92da;a4b73bebf231dbe2321a;65cf5a2a652ba9b3ca95;caba50e4a43aa76cac46;d0fc4545c974fc42b662;a02304edf778c294c6fb;efee8b0961b89129a457;2d83aaed5161b7904cdd;334dd20fa6fb3ffa9d5d;6d2129c626d211543587;b5a85ea72aadddb2f09b;bfe1e6f3cb0a3353c928;d984d534dcc7fe11d643;6c5161e9261e0ba5f8b1;20f0af1735ba9f7c5a2e;1318278d00548b081ebc;73a83925776f8e35ed8a;fc6a213e57b750465697;86e6614af35eccb013ac;82255f7bb022fd1cd129;43266379df129a98dcd9;3e5c4fe6cfe523059d12;454169e6fe8a9b1ba08c,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a02304edf778c294c6fb;a4b73bebf231dbe2321a;454169e6fe8a9b1ba08c,18;4;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,起居与休闲,living,medium_partition_weak_separation,cross-compatible=0.7037; min sub80=0.9075,d6f4c71d3816fc9fef4a;81234a56777545e31b9c;561446db19099c48c68e;19253e4ab328902a4d12;bb287f23eb43955e7502;006d495cbff76f46e992;fca31418ca45c43fa616;8d7a436f7ee75b72d1ba;1230dd95959a683bf7aa;8b9ce3b553725840ef9d;8f8f293766eeffd6470a;48e0e1e7a86beb1ce565;d9c1add75dab8315cd34;2de8896d2c2ea564fd37;42264e54a01908d81bbe;acb3d20a4fb6e211d3b1;b7393a16aa19bd7f1989;88b2b69f04caf44309bc;93cf3ac259facb9e83dc;c53730832245059ca129;0e09f3e9552514dbad74;45865dabe049ebace6d2;432c6ebaa6bb7a54b3a9,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,d6f4c71d3816fc9fef4a;561446db19099c48c68e;006d495cbff76f46e992;2de8896d2c2ea564fd37;d9c1add75dab8315cd34;b7393a16aa19bd7f1989,9;7;3;2;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,储藏与家务辅助,storage,medium_partition_weak_separation,cross-compatible=0.6579; min sub80=0.9031,ef6c6984e4f16c67;cbd6d6ed281739e8;f1a7942ad54c9e20;c44e5219f9e4193e;ed061f0733e9b7c0;917375ed9bf4c232;89f4eb027c671d27;76f4aa228126afc1;0866485c13fba238;ddf920fbb138fba7;c47958997351f42e;2dcd0faece1c3627;8a9a3f2c384ef292;f8e972b03fbd99f4;cd8cc0c1540ed63d;5129b3e9aeb05f80;d94dce8e2409d75e;00c9c0032b86bbcb;5c94076772ebc57a;8ef79e670b984365;aeb286b084b52ac4;59884e403caf2b80;9dfb83c45afc5f23;e5e1284390ee6b73,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,ef6c6984e4f16c67;ed061f0733e9b7c0;917375ed9bf4c232;89f4eb027c671d27;00c9c0032b86bbcb,19;2;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
