metric,old_value,recomputed_value,audit_status
substrate_canonical_annotations,2501,2501,exact_reproduction
substrate_raw_annotation_versions,2513,2513,exact_reproduction
historical_annotation_rows,1055,1055,exact_reproduction
strict_geometry_rows,1013,1013,exact_reproduction
reference_quality_eligible_rows,770,770,exact_reproduction
worker_augmented_H_L_U,3/2/15,3/2/15,exact_reproduction
cross_building_stable_substantive_H_L,3,3,confirmed; denominator is substantive H/L
cross_building_stable_any_label,not_separated_in_old_short_claim,6,clarification; includes stable U
cross_building_stable_U,not_a_population_subtype,3,descriptive unclassified stability only
claimed_7_8_7_provenance,7/8/7,not_located_in_machine_readable_or_named_reports,unverified; do not use
