row_type,stage,condition,canonical_record_count,worker_count,image_count,building_count,hohonet_offline_output_file_count,bilayout_dual_output_file_count,bilayout_dual_evaluable_count,historical_actual_proposal_image_count,historical_actual_proposal_response_count,interpretation,matched_base_task_ids_json,same_worker_same_image_cross_condition_pair_count,same_worker_same_image_cross_condition_image_count
path_coverage,C1,manual,674,23,87,13,87,87,86,25,106,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
path_coverage,C1,semi,106,23,25,9,25,25,24,25,106,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
manual_semi_matched_images,C1,manual_vs_semi,,,25,9,,,,,,descriptive same-stage same-image overlap; not randomized and block/context provenance remains separate,"[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37"", ""UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b"", ""UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de"", ""X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9"", ""Z6MFQCViBuw_2008e72476f84104858e908beeac0193"", ""Z6MFQCViBuw_22fff6c74efb476592569c18718feb41"", ""q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d"", ""q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5"", ""q9vSo1VnCiC_a424533651804a38a55b1252daccc81e"", ""uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d"", ""uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62"", ""uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13"", ""uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3"", ""uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d"", ""uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e"", ""wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d"", ""wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7"", ""wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc"", ""wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f"", ""yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089"", ""yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347""]",2,2
path_coverage,C2-A-RP,manual,80,20,42,8,42,42,42,0,0,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
path_coverage,C2-A-RP,semi,0,0,0,0,0,0,0,0,0,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
manual_semi_matched_images,C2-A-RP,manual_vs_semi,,,0,0,,,,,,descriptive same-stage same-image overlap; not randomized and block/context provenance remains separate,[],0,0
path_coverage,C2-B,manual,160,20,46,8,46,46,46,0,0,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
path_coverage,C2-B,semi,0,0,0,0,0,0,0,0,0,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
manual_semi_matched_images,C2-B,manual_vs_semi,,,0,0,,,,,,descriptive same-stage same-image overlap; not randomized and block/context provenance remains separate,[],0,0
path_coverage,P1,manual,779,26,30,12,30,30,29,0,0,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
path_coverage,P1,semi,468,26,18,10,18,18,18,18,468,historical actual proposals are distinct from offline HoHoNet ep300/BiLayout candidates,,,
manual_semi_matched_images,P1,manual_vs_semi,,,0,0,,,,,,descriptive same-stage same-image overlap; not randomized and block/context provenance remains separate,[],0,0
path_coverage_all_stages,ALL,manual,1693,26,187,22,187,187,185,25,106,all-stage descriptive coverage; stages remain separate in analysis,,,
path_coverage_all_stages,ALL,semi,574,26,43,12,43,43,42,43,574,all-stage descriptive coverage; stages remain separate in analysis,,,
