annotator_id,core_scene,n_annotations,n_model_usable,mean_iou_m,mean_active_time,r_u_s,r_u_s_lcb,core_scene_rule_version,activation_status,degeneration_status
1,occlusion|acceptable,34,30,1.0,10.876764705882353,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
1,occlusion|over_parsing,4,4,1.0,21.65775,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
1,oos::oos_geometry,4,0,,25.717750000000002,,,scene_proxy_top4_v1,not_activated,fallback_global
1,other,3,3,1.0,31.843,1.0,1.0,scene_proxy_top4_v1,not_activated,fallback_global
1,reflection|acceptable,5,4,1.0,12.987,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
2,occlusion|acceptable,1,1,1.0,22.0,1.0,1.0,scene_proxy_top4_v1,not_activated,fallback_global
2,occlusion|corner_drift,3,1,0.9681299724752364,13.333333333333334,0.9681299724752364,0.9681299724752364,scene_proxy_top4_v1,not_activated,fallback_global
2,oos::oos_split_level,1,0,,35.0,,,scene_proxy_top4_v1,not_activated,fallback_global
2,other,3,0,,273.3333333333333,,,scene_proxy_top4_v1,not_activated,fallback_global
3,occlusion|acceptable,1,0,,22.0,,,scene_proxy_top4_v1,not_activated,fallback_global
3,occlusion|corner_drift,3,1,0.9719617698347048,41.0,0.9719617698347048,0.9719617698347048,scene_proxy_top4_v1,not_activated,fallback_global
3,oos::oos_split_level,2,0,,39.0,,,scene_proxy_top4_v1,not_activated,fallback_global
3,other,3,0,,67.33333333333333,,,scene_proxy_top4_v1,not_activated,fallback_global
4,low_texture|overextend_adjacent,1,0,,33.0,,,scene_proxy_top4_v1,not_activated,fallback_global
4,occlusion|corner_drift,2,1,0.8453549668037589,36.5,0.8453549668037589,0.8453549668037589,scene_proxy_top4_v1,not_activated,fallback_global
4,oos::oos_split_level,1,0,,95.0,,,scene_proxy_top4_v1,not_activated,fallback_global
4,other,2,1,1.0,27.5,1.0,1.0,scene_proxy_top4_v1,not_activated,fallback_global
