id,name,outline,tier,owner
Fig_P0,T/I/M Coverage Funnel,4.1,paper_core,transparency
Table_P0,Field Audit & Missingness,4.1,paper_core,tables
Fig_P1,Active Time (Manual vs Semi),RQ1+4.2,paper_core,efficiency
Table_A,Delta_n_pairs Stratified,4.2,paper_core,tables
Table_B1,Difficulty Stratified,4.2,paper_core,tables
Table_B2,ModelIssue/Scope Conflict,4.2,paper_appendix,tables
Table_C,Worker×Scene Reliability,4.2,paper_appendix,tables
Fig_D,Worker Quadrant Portrait,4.2/4.4,paper_appendix,diagnostics
Table_A1,Anomaly Case Library,4.3,paper_core,tables
Table_D,Process Evidence Samples,4.4,paper_core,tables
Diag_Gate,Gate Reasons + Coverage Panels,4.1 internal,internal_only,diagnostics
Diag_LongTail,Outlier / P99 / NA Diagnostics,4.x internal,internal_only,diagnostics
Diag_Conflict,Scope/Tag Conflict Heatmaps,4.2 internal,internal_only,diagnostics
