comparison_stratum,image_low,image_high,label_low,label_high,building,main_low,main_high,room_status,same_room_id
coarse_within_building,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,简单,中等,2t7WUuJeko7,老式炉灶与白色橱柜厨房,炉灶旁厨房,supported_component,True
coarse_within_building,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,简单,中等,2t7WUuJeko7,老式炉灶与白色橱柜厨房,厨房靠后门小餐桌一端,supported_component,True
coarse_within_building,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,简单,中等,2t7WUuJeko7,老式炉灶与白色橱柜厨房,老式炉灶所在厨房,supported_component,True
coarse_within_building,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,简单,中等,2t7WUuJeko7,白色玻璃吊柜厨房,炉灶旁厨房,supported_component,True
coarse_within_building,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,简单,中等,2t7WUuJeko7,白色玻璃吊柜厨房,厨房靠后门小餐桌一端,supported_component,True
coarse_within_building,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,简单,中等,2t7WUuJeko7,白色玻璃吊柜厨房,老式炉灶所在厨房,supported_component,True
coarse_within_building,uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,睡眠为主,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,简单,中等,uNb9QFRL6hY,睡眠／休憩并重,睡眠为主,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,睡眠为主,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,简单,中等,uNb9QFRL6hY,睡眠为主；休憩次要,睡眠为主,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,卧室床区为主，入口可见,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,简单,中等,uNb9QFRL6hY,睡眠／休憩并重,卧室床区为主，入口可见,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,卧室床区为主，入口可见,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,简单,中等,uNb9QFRL6hY,睡眠为主；休憩次要,卧室床区为主，入口可见,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,睡眠为主；休憩次要,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,简单,中等,uNb9QFRL6hY,睡眠／休憩并重,睡眠为主；休憩次要,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,睡眠为主；休憩次要,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,简单,中等,uNb9QFRL6hY,睡眠为主；休憩次要,睡眠为主；休憩次要,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,简单,中等,uNb9QFRL6hY,睡眠为主；外门侧次要,卧室床区与入口共同呈现；入口比其他视点更突出,overlap_with_pending_or_unsupported,True
coarse_within_building,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,简单,中等,uNb9QFRL6hY,睡眠／休憩并重,卧室床区与入口共同呈现；入口比其他视点更突出,overlap_with_pending_or_unsupported,True
