image_id,condition,repeat,pattern,possible,external_seed_workers,available_counts,unknown_not_a_type
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,AA,False,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,AB,True,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,AAB,False,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,ACD,True,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,AABC,False,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0,ABCD,True,W011|W010|W014|W027,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,AA,False,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,AB,False,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,AAB,False,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,ACD,True,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,AABC,False,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,1,ABCD,False,W033|W029|W006|W037,"{0: 1, 1: 0, 2: 18, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,AA,False,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,AB,True,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,AAB,False,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,ACD,True,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,AABC,False,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,2,ABCD,True,W013|W027|W033|W012,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,AA,False,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,AB,True,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,AAB,False,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,ACD,True,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,AABC,False,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,3,ABCD,True,W015|W013|W011|W014,"{0: 1, 1: 1, 2: 17, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,AA,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,AB,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,AAB,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,ACD,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,AABC,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,0,ABCD,True,W017|W008|W006|W030,"{0: 2, 1: 14, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,1,AA,False,W001|W029|W031|W006,"{0: 1, 1: 15, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,1,AB,True,W001|W029|W031|W006,"{0: 1, 1: 15, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,1,AAB,False,W001|W029|W031|W006,"{0: 1, 1: 15, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,1,ACD,True,W001|W029|W031|W006,"{0: 1, 1: 15, 2: 3, 3: 1}",0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,1,AABC,False,W001|W029|W031|W006,"{0: 1, 1: 15, 2: 3, 3: 1}",0
