threshold,base_task_id,building_id,task_analysis_class,task_final_scope,has_semi_candidate,gate_without_scope_valid_k,all_canonical_valid_k,gate_without_scope_partition_status,all_canonical_partition_status,gate_without_scope_shannon_entropy,all_canonical_shannon_entropy,gate_without_scope_mode_count,all_canonical_mode_count,excluded_context_shift_manual_entropy,analysis_role
0.93,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual_only_oos,oos,False,5,5,unique,unique,0.9502705392332347,0.9502705392332347,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,6,unique,unique,0.6730116670092565,1.0114042647073516,2.0,3.0,0.33839259769809504,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,paired_primary,in_scope,True,5,6,unique,unique,0.9502705392332347,0.8675632284814612,3.0,3.0,-0.08270731075177351,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,paired_primary,in_scope,True,5,5,unique,unique,0.9502705392332347,0.9502705392332347,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual_only_oos,oos,False,5,5,unique,unique,0.9502705392332347,0.9502705392332347,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,-0.0,-0.0,1.0,1.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,paired_primary,in_scope,True,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,paired_primary,in_scope,True,5,5,unique,unique,-0.0,-0.0,1.0,1.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,paired_primary,in_scope,True,5,6,unique,unique,0.5004024235381879,0.45056120886630463,2.0,2.0,-0.04984121467188324,manual_ambiguity_catalog_not_semi_effect
0.93,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual_only_in_scope,in_scope,False,5,5,unique,unique,0.9502705392332347,0.9502705392332347,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect
0.93,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual_only_in_scope,in_scope,False,5,6,unique,unique,-0.0,-0.0,1.0,1.0,0.0,manual_ambiguity_catalog_not_semi_effect
