base_task_id,planned_manual_workers,planned_semi_workers,planned_overlap_count,realized_manual_workers,realized_semi_workers,realized_overlap_count,manual_realized_outside_base_manifest,semi_realized_outside_base_manifest,outside_base_manifest_formally_authorized,status
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,14;18;31;32;8,11;33;36;6,0,18;31;32;34;8,11;33;36;6,0,34,,True,pass
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,1;2;33;34;37,10;15;35;8,0,1;2;33;34;37,10;15;35;8,0,,,True,pass
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,11;15;33;34;37,13;2;29;35,0,11;15;33;34;37,13;2;29;35,0,,,True,pass
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,27;28;29;35;36,1;2;30;32,0,27;28;29;35;36,1;2;30;32,0,,,True,pass
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,13;14;28;29;35,10;27;37;8,0,13;28;29;34;35,10;27;37;8,0,34,,True,pass
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,13;14;18;30;35,27;29;34;37,0,1;13;18;30;35,27;29;34;37,0,1,,True,pass
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,11;15;33;34;37,1;17;2;28,0,11;15;33;34;37,1;17;2;28,0,,,True,pass
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,11;15;32;33;37,13;17;18;28,0,11;15;32;33;37,13;17;18;28,0,,,True,pass
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,1;12;2;30;34,10;15;35;8,0,1;12;2;30;34,10;15;35;8,0,,,True,pass
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,1;28;29;35;36,12;27;34;37,0,1;28;29;35;36,12;27;34;37,0,,,True,pass
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,10;13;14;18;6,1;2;30;32,0,10;13;18;34;6,1;2;30;32,0,34,,True,pass
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,12;27;30;32;33,14;17;18;6,0,12;27;30;32;33,17;18;34,0,,34,True,pass
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,17;31;32;6;8,11;12;15;34,0,17;31;32;6;8,11;12;15;34,0,,,True,pass
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,12;27;28;30;36,13;2;29;32,0,12;27;28;30;36,13;2;29;32,0,,,True,pass
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,10;13;14;18;6,1;28;30;32,0,10;13;18;34;6,1;28;30;32,0,34,,True,pass
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,11;15;33;34;37,12;14;18;31,0,11;15;33;34;37,1;12;18;31,0,,1,True,pass
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,1;11;12;15;2,33;34;35;6,0,1;11;12;15;2,33;34;35;6,0,,,True,pass
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,10;17;18;6;8,11;14;31;36,0,10;17;18;6;8,1;11;31;36,0,,1,True,pass
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,17;31;32;33;8,1;27;28;30,0,17;31;32;33;8,1;27;28;30,0,,,True,pass
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,11;15;2;34;37,31;33;36;6,0,11;15;2;34;37,31;33;36;6,0,,,True,pass
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,13;29;33;35;8,14;17;18;28,0,13;29;33;35;8,17;18;28;34,0,,34,True,pass
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,1;12;2;34;37,11;31;33;36,0,1;12;2;34;37,11;31;33;36,0,,,True,pass
