base_task_id,eligible_rows,initialization_artifact_id_unique,initialization_prediction_sha256_unique,initial_geometry_hash_unique,language_cohort_count,max_import_sha256_unique_within_language,status
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,4,1,1,1,2,1,pass
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,4,1,1,1,2,1,pass
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,4,1,1,1,2,1,pass
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,4,1,1,1,2,1,pass
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,1,1,1,2,1,pass
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,4,1,1,1,1,1,pass
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,1,1,1,2,1,pass
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,4,1,1,1,2,1,pass
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,4,1,1,1,2,1,pass
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,4,1,1,1,2,1,pass
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,4,1,1,1,2,1,pass
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,4,1,1,1,2,1,pass
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,1,1,1,2,1,pass
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,4,1,1,1,2,1,pass
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,1,1,1,2,1,pass
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,4,1,1,1,2,1,pass
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,1,1,1,2,1,pass
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,4,1,1,1,2,1,pass
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,1,1,1,2,1,pass
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,1,1,1,2,1,pass
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,4,1,1,1,2,1,pass
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,1,1,1,2,1,pass
