base_task_id,submitted_support,normal_count,oos_count,oos_fraction,oos_type_counts,scope_signal_class,formal_scope_registry_conflict,formal_blocker,review_recommended
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,20,13,7,0.35,"{""oos_geometry"": 5, ""oos_open_boundary"": 2}",minority_oos_signal,false,false,false
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,2,1,1,0.5,"{""oos_open_boundary"": 1}",tie_oos_signal,false,false,false
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,20,19,1,0.05,"{""oos_geometry"": 1}",minority_oos_signal,false,false,false
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,3,2,1,0.333333,"{""oos_open_boundary"": 1}",minority_oos_signal,false,false,false
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,2,0,2,1.0,"{""oos_geometry"": 1, ""oos_open_boundary"": 1}",majority_oos_signal,false,false,true
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,1,0,1,1.0,"{""oos_open_boundary"": 1}",majority_oos_signal,false,false,true
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,2,0,2,1.0,"{""oos_open_boundary"": 2}",majority_oos_signal,false,false,true
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,2,1,1,0.5,"{""oos_open_boundary"": 1}",tie_oos_signal,false,false,false
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,2,0,2,1.0,"{""oos_open_boundary"": 2}",majority_oos_signal,false,false,true
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,2,0,2,1.0,"{""oos_open_boundary"": 2}",majority_oos_signal,false,false,true
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,3,1,2,0.666667,"{""oos_open_boundary"": 1, ""oos_split_level"": 1}",majority_oos_signal,false,false,true
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,20,8,12,0.6,"{""oos_geometry"": 1, ""oos_insufficient"": 1, ""oos_open_boundary"": 7, ""oos_split_level"": 3}",majority_oos_signal,false,false,true
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,2,1,1,0.5,"{""oos_open_boundary"": 1}",tie_oos_signal,false,false,false
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,2,1,1,0.5,"{""oos_open_boundary"": 1}",tie_oos_signal,false,false,false
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,2,1,1,0.5,"{""oos_geometry"": 1}",tie_oos_signal,false,false,false
zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,2,1,1,0.5,"{""oos_open_boundary"": 1}",tie_oos_signal,false,false,false
