"deployment_id","project_id","runtime_task_id","planned_task_id","worker_id","server_instance_id","runtime_binding_status"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","1","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","1","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","1","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","1","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","10","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","10","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","10","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","10","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","11","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","11","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","11","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","11","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","12","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","12","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","12","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","12","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","13","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","13","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","13","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","13","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","15","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","15","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","15","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3485","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","15","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3456","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","17","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3462","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","17","labelstudio_http_175_178_71_217","bound_from_final_export"
"c2b_zh","77","3452","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","17","labelstudio_http_175_178_71_217","bound_from_final_export"
