"deployment_id","project_id","runtime_task_id","planned_task_id","base_task_id","image_id","worker_id","runtime_actor_id","mapped_worker_status","event_count","active_seconds_fragment_sum","first_seen_at","last_seen_at","source_files","classification","counts_as_assigned_timing","counts_as_submission","independence_blocker"
"c2b_en","76","3407","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","","1","outside_frozen_deployment_roster","1","2","2026-08-02T21:15:05.315747","2026-08-02T21:15:05.315747","active_times_2026-08-02.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3448","pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a","pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a","pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a","","2","outside_frozen_deployment_roster","1","1","2026-08-02T20:52:26.385369","2026-08-02T20:52:26.385369","active_times_2026-08-02.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3406","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","","2","outside_frozen_deployment_roster","2","15","2026-08-02T20:52:08.374951","2026-08-02T20:52:11.469622","active_times_2026-08-02.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3407","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","","2","outside_frozen_deployment_roster","1","2","2026-08-02T20:52:13.374157","2026-08-02T20:52:13.374157","active_times_2026-08-02.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3410","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","","2","outside_frozen_deployment_roster","1","27","2026-08-05T14:28:27.325556","2026-08-05T14:28:27.325556","active_times_2026-08-05.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3416","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","","2","outside_frozen_deployment_roster","1","5","2026-08-02T20:52:20.447015","2026-08-02T20:52:20.447015","active_times_2026-08-02.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3407","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","30","30","frozen_deployment_worker","133","1281","2026-08-03T19:50:11.339336","2026-08-03T19:50:39.794873","active_times_2026-08-03.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3446","pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657","pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657","pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657","34","34","frozen_deployment_worker","1","3","2026-08-03T15:15:46.660824","2026-08-03T15:15:46.660824","active_times_2026-08-03.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3407","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee","34","34","frozen_deployment_worker","3","17","2026-08-03T15:03:45.942354","2026-08-03T15:19:31.203589","active_times_2026-08-03.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3423","jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6","jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6","jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6","35","35","frozen_deployment_worker","4","19","2026-08-03T13:03:22.061995","2026-08-03T13:03:56.074019","active_times_2026-08-03.jsonl","outside_assignment_exposure","false","false","false"
"c2b_en","76","3406","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","","6","outside_frozen_deployment_roster","1","22","2026-08-04T12:06:19.817631","2026-08-04T12:06:19.817631","active_times_2026-08-04.jsonl","outside_assignment_exposure","false","false","false"
"c2b_zh","77","3455","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","1","1","frozen_deployment_worker","1","3","2026-08-06T21:32:25.664678","2026-08-06T21:32:25.664678","active_times_2026-08-06.jsonl","outside_assignment_exposure","false","false","false"
"c2b_zh","77","3464","VLzqgDo317F_5d3591edd7c546acaf99db40281b3409","VLzqgDo317F_5d3591edd7c546acaf99db40281b3409","VLzqgDo317F_5d3591edd7c546acaf99db40281b3409","1","1","frozen_deployment_worker","1","7","2026-08-06T21:32:16.989998","2026-08-06T21:32:16.989998","active_times_2026-08-06.jsonl","outside_assignment_exposure","false","false","false"
"c2b_zh","77","3455","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","10","10","frozen_deployment_worker","1","1","2026-08-05T11:51:32.937662","2026-08-05T11:51:32.937662","active_times_2026-08-05.jsonl","outside_assignment_exposure","false","false","false"
"c2b_zh","77","3455","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02","2","2","frozen_deployment_worker","1","1","2026-08-04T23:05:24.954137","2026-08-04T23:05:24.954137","active_times_2026-08-04.jsonl","outside_assignment_exposure","false","false","false"
