schema_version,task_id,base_task_id,c2_component,task_stratum,planned_worker_support,submitted_worker_support,canonical_valid_support,Q_GT_eligible_support,risk_slope_eligible_support,missing_worker_ids,support_deficit,peer_support_status,risk_model_support_status
c2b_observed_support_audit_v1,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,common_anchor,ordinary,22,20,20,19,19,18;27,2,observed,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,diverse_bridge,ordinary,2,1,1,1,1,27,1,support_limited,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,common_anchor,ordinary,22,20,20,20,20,18;27,2,observed,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,diverse_bridge,stress,3,3,3,3,3,,0,observed,observed
