"schema_version","round_id","worker_id","task_id","base_task_id","history_type","assigned_history","submitted_history","outside_assignment_exposure_history","deployment_id","project_id","runtime_task_id"
"paper_a_c2a_rp_seen_history_v1","C2-B","1","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","1","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","1","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","1","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","10","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","10","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","10","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","10","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","11","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","11","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","11","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","11","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","12","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","12","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","12","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","12","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","13","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","13","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","13","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","13","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","15","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","15","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","15","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","15","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","17","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","17","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","17","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","17","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494","frozen_assignment","true","true","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","18","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf","frozen_assignment","true","false","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","18","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d","frozen_assignment","true","false","false","","",""
"paper_a_c2a_rp_seen_history_v1","C2-B","18","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e","frozen_assignment","true","false","false","","",""
