dataset_group,base_task_id,building_id,project_id,runtime_task_id,worker_id,annotation_id,strict_valid_support,task_mask_dispersion,leave_one_worker_out_mask_dispersion,active_time_seconds,log1p_active_time,active_time_status,formal_assignment_eligible,task_worker_time_analysis_eligible,difficulty_tags_json,difficulty_raw_values_json,difficulty_trivial,difficulty_nontrivial,difficulty_nontrivial_tag_count,difficulty_occlusion,difficulty_seam,raw_point_count,raw_valid,repair_applied,peer_distance_mean,corner_pair_count,log_active_time,active_time_owner_valid_status,active_time_seconds_v2
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,27,5817,23,0.0441875928212912,0.0456052902116332,284.0,5.652489180268651,eligible,True,True,"[""occlusion"", ""reflection""]","[""occlusion"", ""reflection""]",0,1,2,1,0,8,True,False,0.029301770222700252,4.0,5.652489180268651,owner_valid_complete,284.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,28,5763,23,0.0441875928212912,0.0454715350247572,181.0,5.204006687076795,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.03070619968489824,4.0,5.204006687076795,owner_valid_complete,181.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,29,6359,23,0.0441875928212912,0.0443763363304308,23.0,3.1780538303479458,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.04220578597532537,4.0,3.1780538303479458,owner_valid_complete,23.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,30,5998,23,0.0441875928212912,0.045380345830901,116.0,4.762173934797756,eligible,True,True,"[""occlusion"", ""reflection""]","[""occlusion"", ""low_texture"", ""reflection""]",0,1,2,1,0,8,True,False,0.03166368622038829,4.0,4.762173934797756,owner_valid_complete,116.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,31,5934,23,0.0441875928212912,0.0448006671471229,170.0,5.14166355650266,eligible_partial_session_coverage,True,True,"[""trivial""]","[""trivial""]",1,0,0,0,0,8,True,False,0.03775031240005838,4.0,5.14166355650266,partial_session_coverage_excluded_from_speed,170.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,32,6347,23,0.0441875928212912,0.044847793423972,222.0,5.407171771460119,eligible_partial_session_coverage,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.03725548649314281,4.0,5.407171771460119,partial_session_coverage_excluded_from_speed,222.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,33,5762,23,0.0441875928212912,0.0454336784226592,172.0,5.153291594497779,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.03110369400692725,4.0,5.153291594497779,owner_valid_complete,172.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,34,5875,23,0.0441875928212912,0.0443071623232206,,,not_evaluable,True,False,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.042932113051032506,4.0,,active_time_missing,
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,35,5921,23,0.0441875928212912,0.0452651846500518,144.0,4.976733742420574,eligible,True,True,"[""trivial""]","[""trivial""]",1,0,0,0,0,8,True,False,0.032872878619304935,4.0,4.976733742420574,owner_valid_complete,144.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,36,5861,23,0.0441875928212912,0.033991942251454,1821.0,7.507690077819904,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.1512419238045818,4.0,7.507690077819904,owner_valid_complete,1821.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,66,3182,37,5862,23,0.0441875928212912,0.0388765413230391,555.0,6.320768294250582,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,12,True,False,0.09995363355293824,6.0,6.320768294250582,owner_valid_complete,555.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,1,6281,23,0.0441875928212912,0.0418134433941106,253.0,5.537334267018537,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.06911616180668756,4.0,5.537334267018537,owner_valid_complete,253.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,10,6157,23,0.0441875928212912,0.045477845201301,113.0,4.736198448394496,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.030639942831188316,4.0,4.736198448394496,owner_valid_complete,113.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,11,6385,23,0.0441875928212912,0.0447819183294466,169.0,5.135798437050262,eligible_partial_session_coverage,True,True,"[""trivial""]","[""trivial""]",1,0,0,0,0,8,True,False,0.037947174985659526,4.0,5.135798437050262,partial_session_coverage_excluded_from_speed,169.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,12,6282,23,0.0441875928212912,0.0445500218487954,53.0,3.9889840465642745,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.040382088032497154,4.0,3.9889840465642745,owner_valid_complete,53.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,13,6216,23,0.0441875928212912,0.0451574261833102,109.0,4.700480365792417,eligible,True,True,"[""occlusion""]","[""occlusion""]",0,1,1,1,0,8,True,False,0.03400434252009171,4.0,4.700480365792417,owner_valid_complete,109.0
C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,69,3294,14,6486,23,0.0441875928212912,0.0452318636383996,,,not_evaluable,True,False,"[""trivial""]","[""trivial""]",1,0,0,0,0,8,True,False,0.03322274924165303,4.0,,active_time_missing,
