image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,cluster_a,cluster_b,people_a,people_b,point_count_a,point_count_b,same_point_count,cross_compatible_share,cross_median
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.05,5,0,0,0,1,2,2,2,8,8,True,0,0.0638566686054
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,0.05,24,0,0,0,2,1,7,17,8,8,True,0.90756302521,0.029946803563
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.05,24,0,0,0,5,4,2,14,8,8,True,0.535714285714,0.049779689589
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.05,24,0,0,0,5,1,2,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.05,24,0,0,0,4,1,14,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.075,24,0,0,0,4,1,17,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.1,24,0,0,0,4,1,17,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.125,24,0,0,0,4,1,17,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.15,24,0,0,0,4,1,18,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.2,24,0,0,0,3,2,19,2,8,8,True,0.394736842105,0.273049386734
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.2,24,0,0,0,3,1,19,2,8,6,False,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.2,24,0,0,0,2,1,2,2,8,6,False,0,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.2,6,0,0,0,3,1,2,2,12,8,False,0,
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7y3sRwLe3Va,0.05,5,0,0,0,1,2,2,2,8,8,True,0.5,0.0688807171264
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7y3sRwLe3Va,0.075,5,0,0,0,1,2,2,2,8,8,True,0.5,0.0688807171264
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B6ByNegPMKs,0.05,24,0,0,0,6,10,11,3,8,12,False,0,
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B6ByNegPMKs,0.05,24,0,0,0,6,1,11,2,8,8,True,0,0.150530526893
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B6ByNegPMKs,0.05,24,0,0,0,6,7,11,2,8,8,True,0,0.0675161307588
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B6ByNegPMKs,0.05,24,0,0,0,10,1,3,2,12,8,False,0,
