image_id,condition,cut,rule,late_h,n_valid,n_supported_modes,singleton_mass,p_onset_8_to_h,onset_conditional_median
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,12,3,1,0,0,
