condition,cut,rule,difficulty_tag,process_tier,images
manual,0.1,D20_distribution,困难,insufficient_observed_people,1
manual,0.1,D20_distribution,困难,invalid_records_preclude_process_tier,1
manual,0.1,D20_distribution,困难,observed_fragmented_late_changes,1
manual,0.1,D20_distribution,困难,singleton_support_insufficient,2
manual,0.1,D20_distribution,简单,early_one_or_two_supported_modes,2
manual,0.1,D20_distribution,简单,insufficient_horizon_or_other_trajectory,4
manual,0.1,D20_distribution,简单,intermediate_or_order_sensitive,4
manual,0.1,D20_distribution,简单,invalid_records_preclude_process_tier,1
manual,0.1,G10_geometry,中等,insufficient_horizon_or_other_trajectory,5
manual,0.1,G10_geometry,中等,insufficient_observed_people,2
manual,0.1,G10_geometry,中等,intermediate_or_order_sensitive,1
manual,0.1,G10_geometry,中等,invalid_records_preclude_process_tier,1
manual,0.1,G10_geometry,中等,singleton_support_insufficient,1
manual,0.1,G10_geometry,中等,stable_many_supported_modes,1
manual,0.1,G10_geometry,困难,insufficient_horizon_or_other_trajectory,6
manual,0.1,G10_geometry,困难,insufficient_observed_people,1
manual,0.1,G10_geometry,困难,invalid_records_preclude_process_tier,1
manual,0.1,G10_geometry,困难,observed_fragmented_late_changes,1
manual,0.1,G10_geometry,困难,singleton_support_insufficient,2
manual,0.1,G10_geometry,简单,early_one_or_two_supported_modes,2
manual,0.1,G10_geometry,简单,insufficient_horizon_or_other_trajectory,4
manual,0.1,G10_geometry,简单,intermediate_or_order_sensitive,4
manual,0.1,G10_geometry,简单,invalid_records_preclude_process_tier,1
manual,0.1,P_pattern,中等,insufficient_horizon_or_other_trajectory,5
manual,0.1,P_pattern,中等,insufficient_observed_people,2
manual,0.1,P_pattern,中等,intermediate_or_order_sensitive,1
manual,0.1,P_pattern,中等,invalid_records_preclude_process_tier,1
manual,0.1,P_pattern,中等,singleton_support_insufficient,1
manual,0.1,P_pattern,中等,stable_many_supported_modes,1
manual,0.1,P_pattern,困难,insufficient_horizon_or_other_trajectory,6
manual,0.1,P_pattern,困难,insufficient_observed_people,1
manual,0.1,P_pattern,困难,invalid_records_preclude_process_tier,1
manual,0.1,P_pattern,困难,observed_fragmented_late_changes,1
manual,0.1,P_pattern,困难,singleton_support_insufficient,2
manual,0.1,P_pattern,简单,early_one_or_two_supported_modes,2
manual,0.1,P_pattern,简单,insufficient_horizon_or_other_trajectory,4
manual,0.1,P_pattern,简单,intermediate_or_order_sensitive,4
manual,0.1,P_pattern,简单,invalid_records_preclude_process_tier,1
manual,0.2,D10_distribution,中等,early_one_or_two_supported_modes,1
manual,0.2,D10_distribution,中等,insufficient_horizon_or_other_trajectory,4
manual,0.2,D10_distribution,中等,insufficient_observed_people,2
manual,0.2,D10_distribution,中等,intermediate_or_order_sensitive,2
manual,0.2,D10_distribution,中等,invalid_records_preclude_process_tier,1
manual,0.2,D10_distribution,中等,singleton_support_insufficient,1
manual,0.2,D10_distribution,困难,insufficient_horizon_or_other_trajectory,6
manual,0.2,D10_distribution,困难,insufficient_observed_people,1
manual,0.2,D10_distribution,困难,invalid_records_preclude_process_tier,1
manual,0.2,D10_distribution,困难,singleton_support_insufficient,1
manual,0.2,D10_distribution,困难,stable_many_supported_modes,2
manual,0.2,D10_distribution,简单,early_one_or_two_supported_modes,5
manual,0.2,D10_distribution,简单,insufficient_horizon_or_other_trajectory,3
manual,0.2,D10_distribution,简单,intermediate_or_order_sensitive,2
manual,0.2,D10_distribution,简单,invalid_records_preclude_process_tier,1
manual,0.2,D20_distribution,中等,early_one_or_two_supported_modes,1
manual,0.2,D20_distribution,中等,insufficient_horizon_or_other_trajectory,4
manual,0.2,D20_distribution,中等,insufficient_observed_people,2
manual,0.2,D20_distribution,中等,intermediate_or_order_sensitive,2
manual,0.2,D20_distribution,中等,invalid_records_preclude_process_tier,1
manual,0.2,D20_distribution,中等,singleton_support_insufficient,1
manual,0.2,D20_distribution,困难,insufficient_horizon_or_other_trajectory,6
manual,0.2,D20_distribution,困难,insufficient_observed_people,1
manual,0.2,D20_distribution,困难,invalid_records_preclude_process_tier,1
manual,0.2,D20_distribution,困难,singleton_support_insufficient,1
manual,0.2,D20_distribution,困难,stable_many_supported_modes,2
manual,0.2,D20_distribution,简单,early_one_or_two_supported_modes,5
manual,0.2,D20_distribution,简单,insufficient_horizon_or_other_trajectory,3
manual,0.2,D20_distribution,简单,intermediate_or_order_sensitive,2
manual,0.2,D20_distribution,简单,invalid_records_preclude_process_tier,1
manual,0.2,G10_geometry,中等,early_one_or_two_supported_modes,1
manual,0.2,G10_geometry,中等,insufficient_horizon_or_other_trajectory,4
manual,0.2,G10_geometry,中等,insufficient_observed_people,2
manual,0.2,G10_geometry,中等,intermediate_or_order_sensitive,2
manual,0.2,G10_geometry,中等,invalid_records_preclude_process_tier,1
manual,0.2,G10_geometry,中等,singleton_support_insufficient,1
manual,0.2,G10_geometry,困难,insufficient_horizon_or_other_trajectory,6
manual,0.2,G10_geometry,困难,insufficient_observed_people,1
manual,0.2,G10_geometry,困难,intermediate_or_order_sensitive,1
manual,0.2,G10_geometry,困难,invalid_records_preclude_process_tier,1
manual,0.2,G10_geometry,困难,singleton_support_insufficient,1
manual,0.2,G10_geometry,困难,stable_many_supported_modes,1
manual,0.2,G10_geometry,简单,early_one_or_two_supported_modes,4
manual,0.2,G10_geometry,简单,insufficient_horizon_or_other_trajectory,3
manual,0.2,G10_geometry,简单,intermediate_or_order_sensitive,3
manual,0.2,G10_geometry,简单,invalid_records_preclude_process_tier,1
manual,0.2,P_pattern,中等,early_one_or_two_supported_modes,1
manual,0.2,P_pattern,中等,insufficient_horizon_or_other_trajectory,4
manual,0.2,P_pattern,中等,insufficient_observed_people,2
manual,0.2,P_pattern,中等,intermediate_or_order_sensitive,2
manual,0.2,P_pattern,中等,invalid_records_preclude_process_tier,1
manual,0.2,P_pattern,中等,singleton_support_insufficient,1
manual,0.2,P_pattern,困难,insufficient_horizon_or_other_trajectory,6
manual,0.2,P_pattern,困难,insufficient_observed_people,1
manual,0.2,P_pattern,困难,invalid_records_preclude_process_tier,1
manual,0.2,P_pattern,困难,singleton_support_insufficient,1
manual,0.2,P_pattern,困难,stable_many_supported_modes,2
manual,0.2,P_pattern,简单,early_one_or_two_supported_modes,5
manual,0.2,P_pattern,简单,insufficient_horizon_or_other_trajectory,3
manual,0.2,P_pattern,简单,intermediate_or_order_sensitive,2
manual,0.2,P_pattern,简单,invalid_records_preclude_process_tier,1
semi,0.05,D10_distribution,中等,early_one_or_two_supported_modes,1
semi,0.05,D10_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.05,D10_distribution,简单,early_one_or_two_supported_modes,1
semi,0.05,D10_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.05,D10_distribution,简单,intermediate_or_order_sensitive,2
semi,0.05,D20_distribution,中等,early_one_or_two_supported_modes,1
semi,0.05,D20_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.05,D20_distribution,简单,early_one_or_two_supported_modes,1
semi,0.05,D20_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.05,D20_distribution,简单,intermediate_or_order_sensitive,2
semi,0.05,G10_geometry,中等,early_one_or_two_supported_modes,1
semi,0.05,G10_geometry,中等,insufficient_horizon_or_other_trajectory,1
semi,0.05,G10_geometry,简单,early_one_or_two_supported_modes,1
semi,0.05,G10_geometry,简单,insufficient_horizon_or_other_trajectory,3
semi,0.05,G10_geometry,简单,intermediate_or_order_sensitive,2
semi,0.05,P_pattern,中等,early_one_or_two_supported_modes,1
semi,0.05,P_pattern,中等,insufficient_horizon_or_other_trajectory,1
semi,0.05,P_pattern,简单,early_one_or_two_supported_modes,1
semi,0.05,P_pattern,简单,insufficient_horizon_or_other_trajectory,3
semi,0.05,P_pattern,简单,intermediate_or_order_sensitive,2
semi,0.1,D10_distribution,中等,early_one_or_two_supported_modes,1
semi,0.1,D10_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.1,D10_distribution,简单,early_one_or_two_supported_modes,1
semi,0.1,D10_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.1,D10_distribution,简单,intermediate_or_order_sensitive,2
semi,0.1,D20_distribution,中等,early_one_or_two_supported_modes,1
semi,0.1,D20_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.1,D20_distribution,简单,early_one_or_two_supported_modes,1
semi,0.1,D20_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.1,D20_distribution,简单,intermediate_or_order_sensitive,2
semi,0.1,G10_geometry,中等,early_one_or_two_supported_modes,1
semi,0.1,G10_geometry,中等,insufficient_horizon_or_other_trajectory,1
semi,0.1,G10_geometry,简单,early_one_or_two_supported_modes,1
semi,0.1,G10_geometry,简单,insufficient_horizon_or_other_trajectory,3
semi,0.1,G10_geometry,简单,intermediate_or_order_sensitive,2
semi,0.1,P_pattern,中等,early_one_or_two_supported_modes,1
semi,0.1,P_pattern,中等,insufficient_horizon_or_other_trajectory,1
semi,0.1,P_pattern,简单,early_one_or_two_supported_modes,1
semi,0.1,P_pattern,简单,insufficient_horizon_or_other_trajectory,3
semi,0.1,P_pattern,简单,intermediate_or_order_sensitive,2
semi,0.2,D10_distribution,中等,early_one_or_two_supported_modes,1
semi,0.2,D10_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.2,D10_distribution,简单,early_one_or_two_supported_modes,2
semi,0.2,D10_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.2,D10_distribution,简单,intermediate_or_order_sensitive,1
semi,0.2,D20_distribution,中等,early_one_or_two_supported_modes,1
semi,0.2,D20_distribution,中等,insufficient_horizon_or_other_trajectory,1
semi,0.2,D20_distribution,简单,early_one_or_two_supported_modes,2
semi,0.2,D20_distribution,简单,insufficient_horizon_or_other_trajectory,3
semi,0.2,D20_distribution,简单,intermediate_or_order_sensitive,1
semi,0.2,G10_geometry,中等,early_one_or_two_supported_modes,1
semi,0.2,G10_geometry,中等,insufficient_horizon_or_other_trajectory,1
semi,0.2,G10_geometry,简单,early_one_or_two_supported_modes,2
semi,0.2,G10_geometry,简单,insufficient_horizon_or_other_trajectory,3
semi,0.2,G10_geometry,简单,intermediate_or_order_sensitive,1
semi,0.2,P_pattern,中等,early_one_or_two_supported_modes,1
semi,0.2,P_pattern,中等,insufficient_horizon_or_other_trajectory,1
semi,0.2,P_pattern,简单,early_one_or_two_supported_modes,2
semi,0.2,P_pattern,简单,insufficient_horizon_or_other_trajectory,3
semi,0.2,P_pattern,简单,intermediate_or_order_sensitive,1
