image_a,image_b,condition,building,room_id,common_n,common_workers,canonical_ids_a,canonical_ids_b,orders,total_clusters_a,total_clusters_b,total_clusters_absolute_difference,supported_clusters_a,supported_clusters_b,supported_clusters_absolute_difference,singletons_a,singletons_b,singletons_absolute_difference,singleton_share_a,singleton_share_b,singleton_share_absolute_difference,point_count_disagreement_a,point_count_disagreement_b,point_count_disagreement_absolute_difference,within_cluster_median_a,within_cluster_median_b,within_cluster_median_absolute_difference,full_by8_a,full_by8_b,full_by8_absolute_difference,core_by19_a,core_by19_b,core_by19_absolute_difference,core_tail_a,core_tail_b,core_tail_absolute_difference,late_quarter_new_a,late_quarter_new_b,late_quarter_new_absolute_difference
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,7y3sRwLe3Va,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,23,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036,1870bb9b73b8e731;dc2410f47b0ae7f6;62350f1ba1f6f629;ced04aaa4e1efa7e;95c53ad8a5a96289;255bcfbc04e42564;9e238cb62af7d82e;dcf84084e2f4a4bf;85ae90c2f81b66df;c345eac5108fcf77;db928628d69b3f0a;4785d000f2625c42;e5a17929a8d3ddab;03e01729807e10b2;8cd45265d79ac735;f7889df0393772a8;42cd5a13d2ad90e1;8044ecb0849dfec0;31ba2b8e12c0dae4;8ada6a2e55916c35;5dec5e1874a7a054;b66bb9496c68e5be;9f069c3bb68abdf2,a800c13498de5044;2cb026abc8f06cca;075417b5f26b1723;bf182260d97e72b4;82fb1dbda549df08;b2e72f1eccfff1ce;a3ab6a5900bc68ec;0425a943a10eec7b;58c295ccb812be32;27dbf5c9cdf792b8;3aa0bf741c4b39c3;bf04983c0e9d6481;c16f76b61a0c2732;1c503eddee825845;4646bfc46dc3b9ce;bba1f0de8ac71831;925ff212fc8d9104;32eaa5e855ae90ee;628f11c0e0520639;ffa6a35684824582;7ed4383a08375303;81feb0e35cc60306;f227fac3913dbc27,80,14,11,3,3,4,1,11,7,4,0.478260869565,0.304347826087,0.173913043478,0.660079051383,0.660079051383,0,0.0477998760494,0.0336462107596,0.0141536652898,0,0,0,0.5,0.225,0.275,0.5875,0.2875,0.3,0.485416666667,0.3,0.185416666667
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,UwV83HsGsw3,supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,23,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W029;W030;W031;W032;W033;W034;W035;W036;W037,a95a266f291df244;302e82d117f96466;a1cf0e0701983318;e355ede0b8b5901b;b612f84b4f35345d;71640fc7f46c27a2;fe952ee7e370f555;66d1573179cf952a;b450be5b8a67bfb8;07302c287d4b5090;d02768af49547bb8;a75d738ce1b5070a;10226aeae3f84a35;3c0d8e75dd7d264b;4fc74fddb88c2f79;c683a325ea5ee59a;df388ca29d6f7cfd;6b1072abb5dd916d;1a361af7443afe0c;d5317a10c026bfe9;f16402f852e68871;d936055bdc90a99f;b73a313e28bc8976,f21c670566821ce7;073cc94b42351b56;7fb0a95bc36104b2;1e1b8c35465d660f;41e737f6263bbfeb;38910f3666756937;20d050e0b509265b;8e34950e31c52b48;508134982b91e8e9;e65fb66189e53aac;8487d3e12302f924;721a520d404a0fa2;3215104ad30d7a69;ce40f36eeedc9a01;1b879ed2a0ea3317;206017d68554e4ce;fa7addab96927ce3;07747ea3bdc5ada7;db489e7008420f6d;b3c8f9e27d75e1bb;3c003832cc2ac4bd;55864e5d3184dff1;2e83f114eec9c41b,80,14,16,2,7,3,4,7,13,6,0.304347826087,0.565217391304,0.260869565217,0.826086956522,0.830039525692,0.00395256916996,0.0373276996157,0.0469604746152,0.00963277499952,0,0,0,0.0375,0.4,0.3625,0.0875,0.575,0.4875,0.347916666667,0.416666666667,0.06875
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,UwV83HsGsw3,supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a95a266f291df244;302e82d117f96466;a1cf0e0701983318;e355ede0b8b5901b;b612f84b4f35345d;71640fc7f46c27a2;fe952ee7e370f555;66d1573179cf952a;b450be5b8a67bfb8;07302c287d4b5090;d02768af49547bb8;a75d738ce1b5070a;10226aeae3f84a35;3c0d8e75dd7d264b;4f42032dc8e4d665;4fc74fddb88c2f79;c683a325ea5ee59a;df388ca29d6f7cfd;6b1072abb5dd916d;1a361af7443afe0c;d5317a10c026bfe9;f16402f852e68871;d936055bdc90a99f;b73a313e28bc8976,825443a016547c50;f675c9fafc654a6c;6e96384968cba7c3;de16a61e2d1bb437;3f318bc60bc47bf0;e86414515027abd0;3f3f55f16eac83df;9275a01dcd852002;2f0ae1d7e22229cf;c7fde7efc3f1dc23;99be57a4c1340446;2dfcccbef445d8fb;707a9a5e46075152;fa807ea5905340d9;5f286f5426b982a7;233568c89e42b8bb;f14cfdfa014f4398;47e21b5afd7c7b77;809d1c3be329e98c;8edf1145794bfd4f;37d740ea8d0d8493;fe83d3b0d2bab0e8;1d83c0fba980b573;3c1e685ec9863c21,80,15,9,6,7,4,3,8,5,3,0.333333333333,0.208333333333,0.125,0.815217391304,0.565217391304,0.25,0.0373276996157,0.0455017804442,0.0081740808285,0,0,0,0.0375,0.0375,0,0.1375,0.25,0.1125,0.36875,0.177083333333,0.191666666667
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,UwV83HsGsw3,supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,23,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W029;W030;W031;W032;W033;W034;W035;W036;W037,f21c670566821ce7;073cc94b42351b56;7fb0a95bc36104b2;1e1b8c35465d660f;41e737f6263bbfeb;38910f3666756937;20d050e0b509265b;8e34950e31c52b48;508134982b91e8e9;e65fb66189e53aac;8487d3e12302f924;721a520d404a0fa2;3215104ad30d7a69;ce40f36eeedc9a01;1b879ed2a0ea3317;206017d68554e4ce;fa7addab96927ce3;07747ea3bdc5ada7;db489e7008420f6d;b3c8f9e27d75e1bb;3c003832cc2ac4bd;55864e5d3184dff1;2e83f114eec9c41b,825443a016547c50;f675c9fafc654a6c;6e96384968cba7c3;de16a61e2d1bb437;3f318bc60bc47bf0;e86414515027abd0;3f3f55f16eac83df;9275a01dcd852002;2f0ae1d7e22229cf;c7fde7efc3f1dc23;99be57a4c1340446;2dfcccbef445d8fb;707a9a5e46075152;fa807ea5905340d9;233568c89e42b8bb;f14cfdfa014f4398;47e21b5afd7c7b77;809d1c3be329e98c;8edf1145794bfd4f;37d740ea8d0d8493;fe83d3b0d2bab0e8;1d83c0fba980b573;3c1e685ec9863c21,80,16,9,7,3,4,1,13,5,8,0.565217391304,0.217391304348,0.347826086957,0.830039525692,0.553359683794,0.276679841897,0.0469604746152,0.0456875584566,0.00127291615861,0,0,0,0.5,0.0875,0.4125,0.625,0.1625,0.4625,0.458333333333,0.179166666667,0.279166666667
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,jtcxE69GiFV,supported_component:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,2,W002;W036,e92320c34035fa738fcd;f9644fa62fdb22170582,f178c36ff75fc890f24f;adb6425249fda2c7f4fb,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0637867206435,0.0362415159279,0.0275452047156,,,,,,,,,,,,
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,rPc6DW4iMge,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,5,W002;W008;W017;W030;W034,93a6155acf0e8f9b4f11;c2fbdf3adfd99918c0e7;488f0c3264bf31aca229;19cb0e844a73d7e77a47;3440c00bbde5bf789734,0284f20459ae4153;bdf5345d612260f9;f659d3608c54a9ef;9589363fea90baba;d5f398bdf9e24194,80,3,4,1,2,1,1,1,3,2,0.2,0.6,0.4,0.8,0.9,0.1,0.0689065641553,0.0553756988093,0.0135308653461,0,0,0,0.1875,0.5625,0.375,0,0.0625,0.0625,0.2875,0.61875,0.33125
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,rPc6DW4iMge,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,4,W008;W017;W030;W034,c2fbdf3adfd99918c0e7;488f0c3264bf31aca229;19cb0e844a73d7e77a47;3440c00bbde5bf789734,6ab629e7746273bd;317e5971cdfd0288;3f6b62e3295e009a;53b22edb56cc554f,80,3,4,1,1,0,1,2,4,2,0.5,1,0.5,0.833333333333,1,0.166666666667,0.069048027704,,,0,0,0,0.6,0,0.6,0.1875,0,0.1875,0.6,1,0.4
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,rPc6DW4iMge,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,22,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,b33e480dcb1ae10b;fb86982f536c3aaa;bdf5345d612260f9;dd6888e3ad2e47c0;fce565e3270fad1f;c9a58758edb18890;b49af842e8a9a5d6;886e3f4cfcd0e0b8;352ec6e68a3da904;f659d3608c54a9ef;384c1de2ec90820f;98e8fe358da56c8f;bf2aab73a5aed79f;a819fde1949e375b;9589363fea90baba;3e9e6ac471e7da2a;e07cd54978722b1e;9cab10e73212c27f;d5f398bdf9e24194;3266c87d109f70bf;1863472107c00fbd;abff623d76a69986,a1d5efe386cf76ad;860d45b73111d943;6ab629e7746273bd;3b9e797620fb7dd9;a818d1b88c34b687;ef971c0766ea37de;f0a32074507842d5;6ac5bcc2f84af656;a29b0f7c6c31b71b;317e5971cdfd0288;dcf6c97b7f3e2e0f;1120d74f964c5f97;cd3a92cc2800b3c7;4d934ce66ec29a47;3f6b62e3295e009a;8d6f18bc98ea1938;feaa118aa8a59f86;c61e2afdd2d8efd8;53b22edb56cc554f;aa5ab1caef85cf99;65e6380997e850f1;2431f1da19aaa950,80,10,17,7,2,1,1,8,16,8,0.363636363636,0.727272727273,0.363636363636,0.718614718615,0.822510822511,0.103896103896,0.0489294799564,0.0561143833346,0.00718490337825,0,0,0,0.8375,0.9625,0.125,0.8375,0.9625,0.125,0.33125,0.710416666667,0.379166666667
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,rPc6DW4iMge,supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,5,W002;W015;W032;W034;W037,94bd3eb39aab32641f9d;dedb80578a581b30950a;db40fd3c634f72f37f1c;a2c57c04a795d6b822a3;a42f40b503c7f449a3f6,664ded8505bb4ace;72c65c366e863eb9;607ca8f788805e56;d10e31caaec1101e;60b3a58f097c620f,80,1,2,1,1,2,1,0,0,0,0,0,0,0,0.6,0.6,0.0258667891908,0.0539869115898,0.028120122399,1,0.625,0.375,1,0.3875,0.6125,0.25,0,0.25,0,0.0375,0.0375
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,5,W006;W008;W017;W031;W032,f8b24f616d167c27b810;f2a65213a0368b751984;92084aa32f538179d158;5d58f3bc4858f0d343be;d2c9465ce508ba7c1195,561446db19099c48c68e;19253e4ab328902a4d12;8f8f293766eeffd6470a;b7393a16aa19bd7f1989;88b2b69f04caf44309bc,80,2,3,1,1,2,1,1,1,0,0.2,0.2,0,0.4,0.8,0.4,0.0312724166825,0.0091297374718,0.0221426792107,0.8125,0,0.8125,1,0.1625,0.8375,0.6125,0,0.6125,0.1875,0.25625,0.06875
